FIPS,County,State,Country,Date,lat,lon,Confirmed,Deaths,Recovered,Active,Combined_Key
4001,Apache,Arizona,US,05/06/20,35.39465006,-109.4892383,576,7,0,569,"Apache, Arizona, US"
4001,Apache,Arizona,US,06/02/20,35.39465006,-109.4892383,1526,39,0,1487,"Apache, Arizona, US"
04001,Apache,Arizona,US,04/07/20,35.5313,-109.3783,65,0,0,0,"Apache,Arizona,US"
4001,Apache,Arizona,US,06/01/20,35.39465006,-109.4892383,1524,35,0,1489,"Apache, Arizona, US"
04001,Apache,Arizona,US,04/08/20,35.5313,-109.3783,78,0,0,0,"Apache,Arizona,US"
4001,Apache,Arizona,US,05/31/20,35.39465006,-109.4892383,1491,35,0,1456,"Apache, Arizona, US"
04001,Apache,Arizona,US,04/09/20,35.39465006,-109.4892383,52,0,0,0,"Apache, Arizona, US"
4001,Apache,Arizona,US,05/30/20,35.39465006,-109.4892383,1414,34,0,1380,"Apache, Arizona, US"
4001,Apache,Arizona,US,05/29/20,35.39465006,-109.4892383,1290,28,0,1262,"Apache, Arizona, US"
04001,Apache,Arizona,US,04/10/20,35.39465006,-109.4892383,55,0,0,0,"Apache, Arizona, US"
4001,Apache,Arizona,US,05/28/20,35.39465006,-109.4892383,1250,26,0,1224,"Apache, Arizona, US"
04001,Apache,Arizona,US,04/11/20,35.39465006,-109.4892383,66,0,0,0,"Apache, Arizona, US"
4001,Apache,Arizona,US,05/27/20,35.39465006,-109.4892383,1214,26,0,1188,"Apache, Arizona, US"
04001,Apache,Arizona,US,04/12/20,35.39465006,-109.4892383,72,0,0,72,"Apache, Arizona, US"
4001,Apache,Arizona,US,05/26/20,35.39465006,-109.4892383,1191,26,0,1165,"Apache, Arizona, US"
4001,Apache,Arizona,US,04/13/20,35.39465006,-109.4892383,89,0,0,89,"Apache, Arizona, US"
4001,Apache,Arizona,US,04/06/20,35.5313,-109.3783,58,0,0,0,"Apache,Arizona,US"
4001,Apache,Arizona,US,06/03/20,35.39465006,-109.4892383,1569,41,0,1528,"Apache, Arizona, US"
04001,Apache,Arizona,US,04/05/20,35.39465006,-109.4892383,45,0,0,0,"Apache,Arizona,US"
4001,Apache,Arizona,US,06/04/20,35.39465006,-109.4892383,1586,45,0,1541,"Apache, Arizona, US"
4001,Apache,Arizona,US,03/28/20,35.39465006,-109.4892383,13,0,0,0,"Apache, Arizona, US"
4001,Apache,Arizona,US,06/12/20,35.39465006,-109.4892383,1887,52,0,1835,"Apache, Arizona, US"
4001,Apache,Arizona,US,03/29/20,35.39465006,-109.4892383,13,0,0,0,"Apache, Arizona, US"
4001,Apache,Arizona,US,06/11/20,35.39465006,-109.4892383,1811,49,0,1762,"Apache, Arizona, US"
4001,Apache,Arizona,US,03/30/20,35.39465006,-109.4892383,17,0,0,0,"Apache, Arizona, US"
4001,Apache,Arizona,US,06/10/20,35.39465006,-109.4892383,1747,49,0,1698,"Apache, Arizona, US"
04001,Apache,Arizona,US,03/31/20,35.39465006,-109.4892383,16,0,0,0,"Apache, Arizona, US"
4001,Apache,Arizona,US,05/25/20,35.39465006,-109.4892383,1191,25,0,1166,"Apache, Arizona, US"
4001,Apache,Arizona,US,06/09/20,35.39465006,-109.4892383,1732,49,0,1683,"Apache, Arizona, US"
4001,Apache,Arizona,US,06/08/20,35.39465006,-109.4892383,1727,49,0,1678,"Apache, Arizona, US"
4001,Apache,Arizona,US,06/07/20,35.39465006,-109.4892383,1692,49,0,1643,"Apache, Arizona, US"
4001,Apache,Arizona,US,04/02/20,35.39465006,-109.4892383,35,0,0,0,"Apache,Arizona,US"
4001,Apache,Arizona,US,06/06/20,35.39465006,-109.4892383,1656,46,0,1610,"Apache, Arizona, US"
04001,Apache,Arizona,US,04/03/20,35.39465006,-109.4892383,39,0,0,0,"Apache,Arizona,US"
4001,Apache,Arizona,US,06/05/20,35.39465006,-109.4892383,1637,45,0,1592,"Apache, Arizona, US"
4001,Apache,Arizona,US,04/04/20,35.39465006,-109.4892383,42,0,0,0,"Apache,Arizona,US"
04001,Apache,Arizona,US,04/01/20,35.5313,-109.3783,33,0,0,0,"Apache,Arizona,US"
