County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,07/08,07/09,07/10,07/11,07/12,07/13,07/14,07/15,07/16,07/17,07/18,07/19,07/20,07/21,07/22,07/23,07/24,07/25,07/26,07/27,07/28,07/29,07/30,07/31,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09
Maricopa,81,139,199,251,299,399,454,545,690,788,871,961,1049,1171,1326,1433,1495,1559,1689,1741,1891,1960,2020,2056,2146,2264,2404,2491,2589,2636,2738,2846,2970,3116,3234,3359,3457,3578,3723,3972,4156,4421,4585,4751,4929,5138,5196,5525,5779,5827,5988,6219,6341,6599,6821,7096,7240,7340,7482,7644,7835,7950,8177,8277,8379,8448,8627,8896,9112,9522,9815,9937,10536,11068,11229,12091,12761,13498,14003,14374,15282,16018,17010,17791,18692,19372,20775,22272,23880,25999,28303,30136,31650,33883,34992,37135,39626,42374,44962,45178,48592,52266,54757,57929,59829,62296,64915,67543,70128,73165,76328,78481,80146,81216,84233,86483,88954,91863,93870,95471,96711,98988,100543,102247,104613,107291,108677,109988,111446,113148,114852,117293,119295,120279,120960,121789,123082,124022,124924,125545
Pima,17,24,42,49,75,102,120,153,187,202,217,237,280,326,372,415,415,464,512,543,591,622,668,685,700,760,819,856,913,941,963,973,1026,1060,1090,1136,1164,1188,1215,1241,1267,1300,1326,1346,1379,1425,1465,1520,1554,1585,1602,1623,1661,1696,1750,1781,1814,1825,1888,1903,1944,1974,2002,2027,2046,2075,2119,2167,2234,2290,2368,2382,2496,2627,2669,2883,2950,3098,3154,3161,3350,3479,3628,3889,3910,3944,4329,4385,4682,5019,5313,5370,5587,6089,6318,6546,6836,7086,7525,7568,8004,8387,8577,9024,9313,9621,9873,10184,10485,10835,11172,11443,11767,11856,12114,12406,12697,13058,13270,13449,13594,13848,13990,14143,14428,14800,14963,15109,15292,15601,15884,16167,16475,16655,16741,16809,16964,17293,17497,17728
Yuma,1,2,2,3,4,4,4,5,6,9,12,13,13,14,13,13,13,14,15,16,15,20,20,20,20,24,28,29,29,31,32,42,42,42,53,59,62,67,72,85,89,89,98,115,115,134,148,159,176,191,199,207,283,285,310,363,363,443,443,459,508,508,604,670,670,797,838,936,936,982,1105,1137,1289,1520,1643,1815,1850,2231,2257,2378,2439,2588,2962,3144,3144,3404,3467,3467,3637,4078,4403,4604,4604,4940,5131,5364,5524,5680,5793,5895,6225,6498,6683,6838,7062,7346,7445,7599,7775,7899,7994,8143,8302,8384,8629,8851,8949,9035,9086,9300,9374,9669,9713,9794,9930,10138,10289,10434,10562,10657,10761,10880,11078,11142,11203,11217,11314,11367,11448,11512
Pinal,16,17,22,23,35,36,41,51,64,62,65,69,77,89,103,106,120,124,137,138,146,163,168,175,182,197,212,235,247,256,268,283,303,317,332,342,359,365,387,397,417,435,456,468,478,497,530,566,585,600,620,636,643,650,670,678,693,702,720,724,732,749,751,755,764,766,777,788,814,837,863,865,909,940,948,1018,1067,1112,1127,1164,1209,1281,1363,1500,1500,1568,1727,1793,1888,2130,2171,2357,2459,2704,2778,2912,3035,3154,3350,3382,3574,3777,3908,4139,4237,4391,4600,4792,4959,5156,5332,5513,5614,5627,5945,6118,6243,6420,6536,6654,6651,6874,6910,6974,7214,7378,7468,7561,7655,7720,7875,7990,8153,8227,8301,8304,8297,8323,8327,8356
Navajo,13,25,32,37,43,49,57,62,88,91,171,198,245,274,307,359,378,404,286,287,321,335,345,355,390,410,435,452,459,473,485,527,564,583,612,625,628,665,682,712,741,766,777,800,869,892,912,945,981,983,1006,1017,1099,1150,1177,1238,1273,1285,1320,1361,1421,1470,1491,1523,1543,1550,1652,1678,1752,1833,1866,1873,1957,1994,2042,2104,2152,2198,2229,2253,2388,2479,2512,2590,2619,2636,2749,2771,2874,2928,2984,3009,3037,3166,3248,3311,3367,3397,3537,3570,3625,3703,3744,3817,3848,3883,3904,4015,4089,4150,4255,4279,4337,4355,4482,4529,4598,4669,4768,4801,4817,4877,4898,4992,5028,5049,5078,5079,5106,5130,5182,5202,5255,5271,5284,5301,5309,5330,5352,5368
Apache,3,4,4,7,9,11,13,13,17,16,33,35,39,42,45,58,65,78,52,55,66,72,89,97,110,118,141,169,178,202,226,235,268,296,314,336,362,380,392,449,478,507,526,549,576,612,630,671,710,716,727,744,817,859,927,962,981,988,1023,1080,1121,1139,1144,1191,1191,1214,1250,1290,1414,1491,1524,1526,1569,1586,1637,1656,1692,1727,1732,1747,1811,1887,1927,1967,1972,1975,1996,1998,2059,2103,2116,2117,2121,2165,2194,2235,2250,2250,2303,2309,2337,2381,2405,2418,2423,2439,2441,2471,2499,2520,2534,2551,2579,2580,2611,2644,2658,2691,2735,2741,2740,2779,2797,2841,2870,2908,2920,2930,2945,2950,2969,2994,3054,3064,3084,3098,3119,3119,3151,3155
Mohave,0,0,0,0,2,4,5,6,7,7,7,8,9,12,16,20,23,23,27,28,30,30,40,45,45,51,51,52,54,56,59,62,69,73,81,88,96,99,105,117,122,127,135,141,147,150,158,171,178,193,198,207,213,220,242,250,250,251,262,267,277,288,303,304,319,329,339,350,369,383,396,403,409,422,428,447,485,500,512,513,552,563,584,586,589,618,624,636,676,686,717,721,723,813,841,881,927,962,1004,1028,1071,1142,1248,1342,1358,1384,1413,1448,1509,1595,1696,1759,1825,1831,1937,2045,2108,2195,2229,2269,2281,2403,2464,2525,2602,2681,2698,2725,2791,2828,2865,2918,2990,3027,3040,3048,3073,3078,3147,3150
Coconino,14,17,18,23,28,41,56,62,71,81,117,146,175,196,238,257,281,288,210,214,238,243,253,270,266,299,304,314,333,337,342,353,372,391,402,420,425,439,453,486,498,512,527,540,561,588,618,659,679,699,713,720,772,795,823,839,866,901,943,961,972,979,1000,1019,1028,1041,1066,1078,1104,1123,1151,1155,1173,1186,1221,1248,1267,1282,1290,1289,1310,1317,1345,1360,1368,1373,1393,1410,1439,1470,1490,1536,1541,1595,1611,1676,1713,1735,1819,1850,1885,1941,1986,2087,2107,2164,2190,2237,2250,2338,2379,2427,2457,2475,2523,2532,2581,2619,2647,2664,2675,2745,2736,2778,2821,2849,2858,2870,2880,2903,2933,2947,2964,2990,2997,3013,3033,3043,3065,3076
Santa Cruz,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,5,6,7,7,8,8,10,10,12,14,14,16,19,20,23,28,28,30,30,30,30,31,31,33,33,34,34,34,35,37,38,38,40,44,45,51,50,62,69,72,75,78,97,102,123,131,143,169,186,187,188,225,262,297,330,330,365,438,462,503,530,599,615,633,688,805,833,914,970,988,1104,1165,1210,1293,1347,1413,1482,1521,1538,1587,1637,1654,1698,1717,1771,1802,1849,1887,1932,1981,2002,2048,2061,2095,2133,2162,2180,2186,2208,2226,2251,2270,2270,2305,2340,2374,2401,2424,2452,2495,2517,2517,2535,2543,2577,2599,2610,2608,2610,2618,2633,2643,2651,2658
Yavapai,3,3,3,4,5,9,13,12,15,21,24,34,35,43,45,49,57,58,62,62,63,63,65,70,66,68,69,72,72,71,72,73,75,75,76,76,77,77,79,79,82,87,89,93,126,140,152,170,175,177,180,206,227,243,254,260,262,267,269,273,273,284,284,285,288,291,292,294,295,296,297,297,300,304,307,314,326,327,330,340,348,359,367,374,374,374,384,387,402,417,436,456,490,510,521,564,597,628,668,755,781,771,814,861,881,929,948,969,1016,1037,1058,1082,1123,1156,1189,1229,1254,1299,1335,1375,1394,1448,1463,1478,1522,1539,1567,1599,1627,1661,1698,1733,1778,1818,1858,1883,1904,1936,1966,1980
Cochise,1,1,1,1,2,2,3,3,4,4,4,4,5,7,8,9,9,9,11,11,13,15,16,15,15,18,20,22,24,28,29,31,31,34,36,36,36,37,38,39,39,39,39,39,39,40,40,41,41,41,42,43,43,44,45,46,46,46,46,46,51,56,58,59,59,64,63,67,67,72,74,76,89,94,105,120,122,141,149,156,167,171,178,206,216,221,241,248,267,332,362,363,372,432,441,468,509,538,561,580,614,657,678,710,740,791,826,855,884,905,980,1020,1049,1062,1095,1131,1140,1186,1217,1258,1260,1287,1296,1311,1319,1363,1388,1399,1422,1442,1467,1503,1523,1536,1557,1554,1560,1565,1573,1600
Gila,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,5,5,7,7,8,9,10,12,11,11,11,11,11,12,13,13,14,14,14,14,15,17,19,19,19,19,19,19,21,22,22,22,22,22,22,22,24,23,24,24,24,25,25,28,30,31,31,35,37,39,42,43,45,46,47,48,49,54,59,70,87,91,99,115,125,143,160,176,192,201,216,237,249,268,271,292,309,314,325,335,354,349,361,373,385,424,439,445,446,468,479,482,512,551,570,573,596,600,622,644,686,714,703,724,730,778,809,822,833,841,846,871,884,887,905
Graham,2,2,2,2,2,4,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,6,7,9,9,10,16,17,17,18,18,19,19,19,18,19,19,19,20,21,21,21,20,20,20,20,21,21,21,21,21,24,24,25,26,27,28,32,32,37,41,38,40,39,40,41,42,45,48,48,48,50,50,55,56,58,59,61,63,65,66,71,70,75,82,85,92,96,108,117,125,127,140,152,172,179,180,184,201,204,207,218,221,236,240,278,292,298,311,314,328,353,362,366,396,431,442,435,451,478,489,490,492,511,518,529,539
La Paz,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,8,7,7,7,7,8,14,15,14,14,14,16,18,20,22,22,23,23,22,25,27,36,37,38,38,38,40,45,48,49,50,51,51,54,53,54,70,78,79,92,91,110,149,158,181,183,189,205,211,217,221,221,222,238,238,245,257,268,273,279,286,289,299,309,315,328,332,342,345,346,351,357,363,371,374,381,384,394,398,407,410,412,422,422,428,434,435,435,445,445,448,457,462,463,463,466,466,468,469,472,473,474,476,476,477,478,478
