County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,07/08,07/09,07/10,07/11,07/12,07/13,07/14,07/15,07/16,07/17,07/18,07/19,07/20,07/21,07/22,07/23,07/24,07/25,07/26,07/27,07/28,07/29,07/30,07/31,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09
Los Angeles,407.0,536.0,662.0,812.0,1229.0,1465.0,1465.0,1829.0,2474.0,3019.0,3518.0,4045.0,4566.0,4605.0,5955.0,6377.0,6936.0,7559.0,7955.0,8443.0,8453.0,8894.0,9433.0,10047.0,10517.0,10854.0,11400.0,12021.0,12341.0,13823.0,15153.0,16447.0,17537.0,18545.0,19133.0,19567.0,20423.0,20996.0,22485.0,23220.0,24262.0,24894.0,25699.0,26225.0,27836.0,28665.0,29511.0,30319.0,31241.0,31703.0,32263.0,33211.0,34538.0,35392.0,36316.0,37360.0,38011.0,38458.0,39573.0,40895.0,42037.0,43070.0,44121.0,45017.0,46023.0,47845.0,48761.0,49860.0,51678.0,53746.0,55001.0,56011.0,57219.0,58261.0,59692.0,61068.0,62382.0,63844.0,64690.0,65945.0,67111.0,68959.0,70529.0,72057.0,73018.0,73832.0,75162.0,77260.0,78348.0,79655.0,81709.0,83414.0,86017.0,88512.0,89633.0,91577.0,93391.0,95385.0,97918.0,100958.0,103850.0,105665.0,107792.0,107806.0,107826.0,115024.0,116570.0,120764.0,123256.0,124992.0,127439.0,130394.0,133549.0,136357.0,140576.0,143207.0,147678.0,150424.0,153152.0,155917.0,159045.0,162025.0,165134.0,166868.0,168935.0,172325.0,174017.0,176028.0,178642.0,183456.0,186036.0,188541.0,190857.0,192177.0,193877.0,195805.0,198165.0,201200.0,204258.0,206778.0
Riverside,29.0,46.0,57.0,68.0,105.0,149.0,183.0,195.0,291.0,371.0,371.0,493.0,493.0,638.0,799.0,946.0,1016.0,1179.0,1280.0,1350.0,1431.0,1619.0,1619.0,1961.0,1961.0,2105.0,2457.0,2457.0,2638.0,2847.0,2847.0,2960.0,3218.0,3315.0,3315.0,3563.0,3643.0,3735.0,3942.0,4031.0,4079.0,4079.0,4180.0,4354.0,4454.0,4672.0,4756.0,4756.0,4992.0,4992.0,5189.0,5248.0,5248.0,5440.0,5618.0,5618.0,5618.0,5952.0,6053.0,6184.0,6343.0,6464.0,6464.0,6464.0,7004.0,7139.0,7139.0,7341.0,7486.0,7486.0,7486.0,7982.0,8155.0,8155.0,8303.0,8777.0,8777.0,8777.0,9206.0,9590.0,9911.0,10240.0,10490.0,10490.0,10490.0,11285.0,11694.0,11951.0,12467.0,12778.0,12778.0,12778.0,13800.0,14431.0,14905.0,15142.0,15643.0,15643.0,15643.0,16634.0,17296.0,18041.0,18720.0,19450.0,19450.0,19450.0,20555.0,21101.0,21957.0,23334.0,24765.0,24765.0,24765.0,25748.0,26481.0,27371.0,28177.0,28695.0,28695.0,28695.0,29983.0,30890.0,31982.0,32813.0,33467.0,33467.0,33467.0,33467.0,35187.0,36159.0,36629.0,37011.0,37011.0,37011.0,37011.0,38487.0,38487.0,39741.0,40452.0,40452.0
Orange,95.0,125.0,152.0,187.0,256.0,321.0,403.0,431.0,464.0,502.0,606.0,656.0,711.0,786.0,834.0,882.0,931.0,1016.0,1079.0,1138.0,1221.0,1277.0,1283.0,1299.0,1376.0,1425.0,1501.0,1556.0,1636.0,1676.0,1691.0,1753.0,1827.0,1845.0,1969.0,2074.0,2126.0,2151.0,2252.0,2393.0,2537.0,2636.0,2743.0,2819.0,2873.0,3004.0,3092.0,3240.0,3380.0,3502.0,3557.0,3602.0,3749.0,3968.0,4125.0,4222.0,4376.0,4434.0,4500.0,4742.0,4841.0,4941.0,5157.0,5336.0,5469.0,5578.0,5646.0,5744.0,5923.0,6100.0,6261.0,6474.0,6574.0,6678.0,6783.0,7064.0,7321.0,7440.0,7527.0,7614.0,7737.0,7987.0,8153.0,8269.0,8573.0,8759.0,8999.0,9197.0,9292.0,9576.0,9988.0,10422.0,10595.0,10737.0,11016.0,11511.0,11960.0,12462.0,12608.0,13064.0,13843.0,14413.0,15065.0,15778.0,16191.0,16854.0,17882.0,18892.0,20225.0,21517.0,22650.0,23901.0,24715.0,25255.0,26120.0,27031.0,27904.0,28309.0,29011.0,29426.0,29986.0,30976.0,31743.0,32648.0,33358.0,33953.0,34373.0,34646.0,34833.0,35272.0,35778.0,36196.0,36833.0,37391.0,37813.0,38066.0,38131.0,38711.0,38754.0,39076.0
San Bernardino,17.0,17.0,31.0,38.0,54.0,54.0,76.0,76.0,111.0,125.0,183.0,254.0,304.0,353.0,372.0,373.0,530.0,547.0,641.0,729.0,810.0,810.0,887.0,977.0,977.0,996.0,1032.0,1219.0,1286.0,1406.0,1489.0,1489.0,1608.0,1666.0,1666.0,1732.0,1772.0,1827.0,1928.0,2058.0,2113.0,2182.0,2182.0,2182.0,2329.0,2432.0,2562.0,2629.0,2902.0,2902.0,3015.0,3078.0,3153.0,3198.0,3311.0,3463.0,3511.0,3593.0,3707.0,3795.0,3984.0,4146.0,4315.0,4365.0,4365.0,4567.0,4567.0,4914.0,5034.0,5200.0,5246.0,5355.0,5501.0,5650.0,5650.0,5930.0,6040.0,6040.0,6247.0,6417.0,6593.0,6742.0,6976.0,7161.0,7359.0,7515.0,7796.0,8014.0,8454.0,8714.0,8959.0,9156.0,9361.0,10010.0,10407.0,10769.0,11290.0,11290.0,11501.0,11797.0,12550.0,12746.0,13152.0,13676.0,13676.0,14922.0,15345.0,15932.0,16586.0,17414.0,18275.0,18912.0,19043.0,19502.0,20456.0,21468.0,21468.0,23238.0,23566.0,23772.0,24099.0,25067.0,25775.0,26185.0,26796.0,26796.0,27992.0,27992.0,29962.0,32309.0,31688.0,32230.0,32696.0,32980.0,33432.0,34017.0,34237.0,34635.0,34939.0,35452.0
San Diego,155.0,201.0,226.0,238.0,293.0,341.0,413.0,484.0,515.0,603.0,733.0,849.0,966.0,1112.0,1209.0,1326.0,1404.0,1454.0,1530.0,1628.0,1693.0,1761.0,1804.0,1847.0,1930.0,2012.0,2087.0,2158.0,2213.0,2268.0,2325.0,2491.0,2643.0,2826.0,2943.0,2943.0,3043.0,3141.0,3432.0,3432.0,3564.0,3711.0,3927.0,3927.0,4020.0,4319.0,4319.0,4429.0,4662.0,4776.0,5065.0,5161.0,5161.0,5391.0,5391.0,5662.0,5836.0,5836.0,6026.0,6140.0,6140.0,6315.0,6559.0,6559.0,6701.0,6797.0,6882.0,7100.0,7100.0,7385.0,7481.0,7481.0,7554.0,7674.0,7798.0,7940.0,8345.0,8345.0,8619.0,8619.0,8837.0,8998.0,8998.0,9314.0,9440.0,9610.0,9730.0,9730.0,10092.0,10350.0,10484.0,10794.0,11096.0,11294.0,11626.0,11961.0,12401.0,12837.0,13334.0,13832.0,14149.0,14623.0,15207.0,15696.0,15696.0,16726.0,16726.0,17578.0,17842.0,18402.0,18863.0,19371.0,19371.0,19929.0,20887.0,21446.0,21855.0,21855.0,23114.0,23682.0,24135.0,24520.0,25107.0,25608.0,26098.0,26098.0,26701.0,27507.0,27507.0,28287.0,28688.0,29048.0,29048.0,29883.0,29883.0,30516.0,30516.0,31127.0,31127.0,31779.0
Kern,5.0,12.0,13.0,15.0,29.0,33.0,47.0,51.0,60.0,83.0,110.0,142.0,173.0,210.0,230.0,239.0,252.0,271.0,303.0,337.0,371.0,396.0,436.0,462.0,533.0,565.0,578.0,610.0,623.0,643.0,671.0,683.0,699.0,735.0,755.0,809.0,828.0,847.0,866.0,893.0,939.0,969.0,1005.0,1016.0,1045.0,1073.0,1133.0,1166.0,1228.0,1254.0,1286.0,1316.0,1343.0,1393.0,1428.0,1473.0,1515.0,1537.0,1571.0,1605.0,1644.0,1695.0,1757.0,1824.0,1871.0,1876.0,1941.0,2007.0,2076.0,2145.0,2250.0,2322.0,2376.0,2418.0,2462.0,2534.0,2650.0,2720.0,2794.0,2870.0,2942.0,3016.0,3130.0,3195.0,3281.0,3367.0,3452.0,3512.0,3590.0,3706.0,3793.0,3890.0,3965.0,4049.0,4108.0,4182.0,4300.0,4340.0,4478.0,4548.0,4655.0,4768.0,4939.0,5100.0,5130.0,5245.0,5369.0,5543.0,5759.0,5979.0,6195.0,6339.0,6502.0,6601.0,6759.0,6921.0,7074.0,7233.0,7728.0,8447.0,9234.0,10068.0,11188.0,12323.0,13360.0,14192.0,14651.0,15003.0,16896.0,17344.0,18411.0,19335.0,19882.0,20545.0,20651.0,21228.0,21433.0,21724.0,22009.0,22626.0
Fresno,6.0,6.0,13.0,18.0,19.0,27.0,31.0,43.0,43.0,53.0,68.0,82.0,94.0,100.0,103.0,108.0,124.0,146.0,156.0,173.0,191.0,201.0,201.0,222.0,251.0,265.0,295.0,311.0,315.0,315.0,351.0,371.0,419.0,443.0,443.0,458.0,458.0,498.0,538.0,538.0,615.0,615.0,633.0,633.0,672.0,777.0,777.0,813.0,841.0,885.0,945.0,984.0,984.0,1074.0,1074.0,1156.0,1192.0,1192.0,1287.0,1338.0,1338.0,1372.0,1417.0,1448.0,1482.0,1482.0,1535.0,1658.0,1658.0,1714.0,1743.0,1743.0,1882.0,1914.0,1944.0,2014.0,2080.0,2122.0,2122.0,2216.0,2318.0,2395.0,2395.0,2547.0,2547.0,2706.0,2788.0,2788.0,3058.0,3187.0,3245.0,3245.0,3485.0,3672.0,3892.0,4053.0,4374.0,4474.0,4474.0,4811.0,4811.0,5289.0,5626.0,5626.0,5851.0,6110.0,6110.0,6924.0,7281.0,7627.0,7627.0,7906.0,8282.0,8282.0,8756.0,8941.0,9124.0,9565.0,9954.0,9954.0,10639.0,10970.0,11412.0,11756.0,12148.0,12564.0,12564.0,12564.0,13209.0,13336.0,14312.0,14439.0,14439.0,15083.0,15083.0,15759.0,15945.0,16625.0,16625.0,17031.0
Alameda,71.0,118.0,135.0,135.0,178.0,220.0,220.0,270.0,283.0,313.0,313.0,359.0,443.0,443.0,566.0,588.0,634.0,674.0,674.0,766.0,806.0,845.0,888.0,888.0,964.0,1007.0,1063.0,1114.0,1164.0,1193.0,1241.0,1242.0,1352.0,1403.0,1439.0,1470.0,1500.0,1533.0,1568.0,1603.0,1636.0,1706.0,1749.0,1776.0,1809.0,1863.0,1917.0,1961.0,2023.0,2064.0,2101.0,2133.0,2178.0,2234.0,2367.0,2351.0,2392.0,2457.0,2522.0,2560.0,2609.0,2708.0,2760.0,2847.0,2874.0,2986.0,3049.0,3097.0,3195.0,3289.0,3390.0,3470.0,3515.0,3548.0,3641.0,3725.0,3805.0,3805.0,3945.0,3985.0,4033.0,4232.0,4216.0,4217.0,4320.0,4373.0,4481.0,4533.0,4638.0,4702.0,4924.0,4924.0,5007.0,5267.0,5275.0,5382.0,5493.0,5493.0,5670.0,5762.0,5964.0,6156.0,6384.0,6472.0,6556.0,6855.0,6855.0,6925.0,7245.0,7407.0,7485.0,7725.0,7731.0,7976.0,8321.0,8478.0,8627.0,8858.0,9110.0,9237.0,9256.0,9383.0,9643.0,9869.0,10214.0,10330.0,10330.0,10438.0,10633.0,10773.0,11131.0,11139.0,11484.0,11524.0,11524.0,11909.0,12136.0,12884.0,12884.0,13213.0
San Joaquin,31.0,41.0,51.0,68.0,71.0,90.0,93.0,113.0,123.0,136.0,151.0,173.0,180.0,185.0,191.0,206.0,217.0,223.0,237.0,253.0,257.0,266.0,293.0,314.0,341.0,365.0,371.0,400.0,415.0,428.0,449.0,460.0,487.0,495.0,505.0,512.0,528.0,529.0,540.0,543.0,557.0,560.0,570.0,574.0,578.0,579.0,581.0,597.0,605.0,612.0,621.0,629.0,638.0,644.0,659.0,670.0,689.0,699.0,709.0,716.0,733.0,752.0,752.0,752.0,752.0,771.0,771.0,842.0,858.0,858.0,858.0,908.0,982.0,1080.0,1024.0,1050.0,1118.0,1161.0,1195.0,1259.0,1309.0,1388.0,1444.0,1547.0,1652.0,1716.0,1749.0,1888.0,1927.0,1926.0,2519.0,2519.0,2400.0,2560.0,2742.0,2884.0,3031.0,3093.0,3093.0,3291.0,3856.0,3914.0,4298.0,4474.0,4474.0,4474.0,4474.0,5600.0,5817.0,6065.0,6279.0,6279.0,6279.0,6988.0,7216.0,7428.0,7680.0,7819.0,7819.0,7819.0,8321.0,8799.0,9595.0,9826.0,10126.0,10126.0,10126.0,10675.0,10923.0,11209.0,11342.0,11483.0,11483.0,11483.0,11885.0,11958.0,12034.0,12119.0,12119.0,12303.0
Santa Clara,263.0,302.0,375.0,459.0,542.0,574.0,591.0,646.0,848.0,890.0,956.0,1019.0,1019.0,1148.0,1207.0,1207.0,1285.0,1380.0,1380.0,1442.0,1484.0,1566.0,1666.0,1666.0,1793.0,1833.0,1870.0,1870.0,1870.0,1922.0,1922.0,1962.0,1987.0,2018.0,2040.0,2084.0,2105.0,2122.0,2134.0,2163.0,2179.0,2205.0,2231.0,2244.0,2255.0,2268.0,2281.0,2290.0,2307.0,2339.0,2341.0,2362.0,2364.0,2391.0,2391.0,2418.0,2453.0,2453.0,2483.0,2492.0,2492.0,2492.0,2571.0,2617.0,2652.0,2675.0,2688.0,2701.0,2707.0,2731.0,2776.0,2776.0,2819.0,2832.0,2850.0,2892.0,2920.0,2942.0,2973.0,3017.0,3032.0,3063.0,3117.0,3157.0,3197.0,3230.0,3254.0,3288.0,3363.0,3398.0,3458.0,3547.0,3606.0,3727.0,3832.0,3888.0,3984.0,3984.0,4162.0,4265.0,4370.0,4572.0,4750.0,4849.0,5077.0,5273.0,5408.0,5478.0,5552.0,5678.0,5863.0,5983.0,6298.0,6542.0,6725.0,6951.0,7046.0,7131.0,7300.0,7456.0,7795.0,8046.0,8321.0,8533.0,8719.0,8833.0,9041.0,9215.0,9215.0,9612.0,9731.0,9913.0,10321.0,10626.0,10794.0,11030.0,11030.0,11336.0,11336.0,11475.0
