County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18
Miami-Dade,227.0,278.0,338.0,400.0,616.0,763.0,1003.0,1192.0,1632.0,2123.0,2202.0,2886.0,3364.0,3890.0,4146.0,4481.0,4997.0,5354.0,5745.0,6119.0,6487.0,7058.0,7459.0,7712.0,8066.0,8326.0,8824.0,9045.0,9354.0,9657.0,10056.0,10153.0,10588.0,10926.0,11005.0,11351.0,11570.0,11831.0,11927.0,12063.0,12389.0,12632.0,12775.0,13092.0,13224.0,13371.0,13585.0,13664.0,13841.0,14007.0,14167.0,14385.0,14468.0,14742.0,15011.0,15366.0,15658.0,15864.0,15942.0,16034.0,16367.0,16522.0,16694.0,16845.0,17041.0,17168.0,17225.0,17396.0,17641.0,17826.0,18000.0,18139.0,18224.0,18456.0,18779.0,19056.0,19299.0,19547.0,19756.0,19980.0,20277.0,20548.0,20872.0,21633.0,21917.0,22197.0,22741.0,23273.0
Broward,217.0,263.0,311.0,355.0,504.0,614.0,814.0,838.0,1152.0,1219.0,1232.0,1481.0,1598.0,1765.0,1886.0,2067.0,2230.0,2358.0,2454.0,2645.0,2806.0,2945.0,3177.0,3261.0,3363.0,3466.0,3688.0,3838.0,3971.0,4078.0,4168.0,4228.0,4431.0,4591.0,4659.0,4729.0,4794.0,4847.0,4898.0,4953.0,5144.0,5257.0,5312.0,5383.0,5492.0,5553.0,5677.0,5688.0,5780.0,5858.0,5882.0,5973.0,5998.0,6057.0,6133.0,6201.0,6243.0,6322.0,6369.0,6407.0,6514.0,6580.0,6649.0,6697.0,6760.0,6799.0,6825.0,6870.0,6975.0,7067.0,7123.0,7196.0,7248.0,7339.0,7462.0,7572.0,7690.0,7804.0,7924.0,8035.0,8193.0,8337.0,8589.0,8864.0,8928.0,9086.0,9498.0,9812.0
Palm Beach,72.0,89.0,101.0,118.0,169.0,194.0,292.0,333.0,423.0,551.0,567.0,737.0,858.0,954.0,1000.0,1069.0,1136.0,1206.0,1260.0,1388.0,1441.0,1646.0,1704.0,1740.0,1814.0,1867.0,2088.0,2138.0,2170.0,2260.0,2320.0,2403.0,2554.0,2600.0,2614.0,2697.0,2763.0,2877.0,2911.0,2963.0,3041.0,3080.0,3130.0,3311.0,3390.0,3480.0,3587.0,3615.0,3798.0,3870.0,3889.0,4093.0,4176.0,4278.0,4391.0,4440.0,4524.0,4658.0,4699.0,4776.0,4968.0,5072.0,5140.0,5201.0,5355.0,5429.0,5455.0,5541.0,5765.0,5898.0,5996.0,6135.0,6219.0,6477.0,6688.0,6859.0,7074.0,7230.0,7329.0,7518.0,7678.0,7887.0,8209.0,8442.0,8833.0,9015.0,9262.0,9472.0
Hillsborough,58.0,75.0,91.0,106.0,142.0,167.0,195.0,218.0,253.0,305.0,309.0,404.0,463.0,497.0,536.0,571.0,608.0,626.0,644.0,671.0,690.0,759.0,813.0,819.0,869.0,878.0,924.0,943.0,960.0,973.0,979.0,982.0,1008.0,1022.0,1041.0,1048.0,1062.0,1080.0,1105.0,1124.0,1163.0,1240.0,1281.0,1300.0,1324.0,1331.0,1364.0,1371.0,1400.0,1432.0,1448.0,1473.0,1494.0,1530.0,1568.0,1585.0,1614.0,1653.0,1670.0,1703.0,1767.0,1790.0,1823.0,1883.0,1939.0,1969.0,1995.0,2019.0,2069.0,2129.0,2201.0,2251.0,2285.0,2384.0,2479.0,2554.0,2643.0,2748.0,2861.0,2923.0,3027.0,3174.0,3295.0,3504.0,3613.0,3826.0,4029.0,4273.0
Orange,33.0,48.0,50.0,77.0,110.0,156.0,206.0,246.0,293.0,373.0,392.0,541.0,602.0,657.0,713.0,744.0,763.0,803.0,857.0,895.0,914.0,949.0,1024.0,1038.0,1073.0,1114.0,1158.0,1180.0,1198.0,1216.0,1235.0,1251.0,1274.0,1290.0,1304.0,1322.0,1339.0,1363.0,1371.0,1385.0,1413.0,1422.0,1434.0,1438.0,1446.0,1460.0,1474.0,1478.0,1505.0,1505.0,1512.0,1537.0,1553.0,1577.0,1615.0,1629.0,1655.0,1679.0,1699.0,1708.0,1726.0,1744.0,1768.0,1808.0,1831.0,1849.0,1877.0,1902.0,1945.0,1976.0,2002.0,2031.0,2048.0,2121.0,2169.0,2210.0,2256.0,2316.0,2378.0,2449.0,2542.0,2678.0,2773.0,2937.0,3130.0,3282.0,3437.0,3584.0
Lee,26.0,30.0,32.0,42.0,56.0,76.0,101.0,124.0,164.0,206.0,212.0,275.0,304.0,348.0,379.0,397.0,434.0,462.0,496.0,547.0,584.0,617.0,642.0,657.0,677.0,687.0,721.0,739.0,769.0,785.0,795.0,794.0,887.0,940.0,944.0,961.0,971.0,990.0,1003.0,1021.0,1067.0,1085.0,1118.0,1138.0,1160.0,1176.0,1212.0,1219.0,1249.0,1268.0,1285.0,1317.0,1332.0,1350.0,1385.0,1401.0,1456.0,1481.0,1520.0,1542.0,1585.0,1666.0,1677.0,1699.0,1736.0,1759.0,1767.0,1802.0,1847.0,1894.0,1908.0,1943.0,1967.0,2087.0,2147.0,2200.0,2253.0,2289.0,2315.0,2388.0,2422.0,2500.0,2563.0,2634.0,2836.0,2877.0,3015.0,3187.0
Collier,33.0,39.0,41.0,47.0,65.0,81.0,92.0,95.0,119.0,146.0,150.0,178.0,203.0,221.0,231.0,246.0,271.0,277.0,292.0,318.0,344.0,361.0,376.0,380.0,395.0,416.0,445.0,457.0,463.0,470.0,477.0,483.0,507.0,526.0,535.0,552.0,562.0,568.0,581.0,596.0,610.0,628.0,640.0,653.0,656.0,677.0,705.0,712.0,734.0,752.0,766.0,843.0,864.0,882.0,915.0,923.0,948.0,1006.0,1030.0,1058.0,1112.0,1160.0,1195.0,1251.0,1282.0,1305.0,1334.0,1401.0,1454.0,1514.0,1539.0,1580.0,1605.0,1679.0,1814.0,1874.0,1968.0,2039.0,2070.0,2128.0,2230.0,2291.0,2364.0,2435.0,2526.0,2592.0,2729.0,2817.0
Pinellas,38.0,41.0,45.0,50.0,64.0,77.0,94.0,113.0,126.0,167.0,170.0,273.0,318.0,342.0,359.0,362.0,380.0,394.0,413.0,428.0,444.0,455.0,479.0,494.0,513.0,530.0,565.0,587.0,592.0,607.0,632.0,638.0,656.0,673.0,677.0,687.0,698.0,709.0,718.0,729.0,748.0,757.0,766.0,784.0,788.0,801.0,820.0,828.0,848.0,861.0,876.0,909.0,923.0,962.0,997.0,1008.0,1022.0,1051.0,1062.0,1075.0,1109.0,1116.0,1153.0,1173.0,1187.0,1196.0,1205.0,1218.0,1238.0,1262.0,1297.0,1313.0,1335.0,1361.0,1397.0,1478.0,1532.0,1584.0,1638.0,1679.0,1746.0,1862.0,1941.0,2103.0,2235.0,2389.0,2523.0,2684.0
Duval,39.0,50.0,50.0,56.0,74.0,90.0,115.0,125.0,158.0,207.0,218.0,286.0,323.0,387.0,413.0,475.0,521.0,549.0,589.0,609.0,635.0,668.0,691.0,718.0,745.0,776.0,817.0,835.0,854.0,896.0,909.0,925.0,956.0,955.0,965.0,984.0,990.0,1001.0,1007.0,1012.0,1025.0,1038.0,1045.0,1072.0,1084.0,1077.0,1083.0,1088.0,1134.0,1164.0,1171.0,1186.0,1199.0,1215.0,1252.0,1259.0,1284.0,1300.0,1318.0,1336.0,1355.0,1376.0,1406.0,1439.0,1467.0,1484.0,1507.0,1523.0,1561.0,1608.0,1644.0,1654.0,1660.0,1669.0,1702.0,1736.0,1764.0,1792.0,1806.0,1824.0,1848.0,1893.0,1923.0,1961.0,1990.0,2032.0,2112.0,2194.0
Polk,11.0,13.0,13.0,14.0,17.0,26.0,34.0,39.0,55.0,73.0,76.0,103.0,126.0,142.0,157.0,176.0,197.0,206.0,212.0,237.0,242.0,254.0,270.0,279.0,286.0,304.0,316.0,320.0,326.0,335.0,356.0,361.0,379.0,393.0,400.0,410.0,441.0,457.0,468.0,483.0,500.0,514.0,523.0,536.0,547.0,564.0,594.0,601.0,623.0,636.0,655.0,675.0,687.0,698.0,716.0,722.0,736.0,746.0,766.0,786.0,822.0,840.0,853.0,869.0,878.0,891.0,907.0,939.0,977.0,1005.0,1027.0,1038.0,1053.0,1074.0,1100.0,1127.0,1145.0,1178.0,1206.0,1243.0,1287.0,1325.0,1373.0,1414.0,1466.0,1509.0,1566.0,1634.0
