County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,07/08,07/09,07/10,07/11,07/12,07/13,07/14,07/15,07/16,07/17,07/18,07/19,07/20,07/21,07/22,07/23,07/24,07/25,07/26,07/27,07/28,07/29,07/30,07/31,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09
Jefferson,166.0,252.0,293.0,359.0,458.0,548.0,744.0,761.0,838.0,1193.0,1433.0,2178.0,2495.0,3008.0,3088.0,3530.0,3922.0,4092.0,4480.0,4678.0,4877.0,4990.0,5088.0,5188.0,5265.0,5346.0,5476.0,5543.0,5592.0,5761.0,5802.0,5860.0,5929.0,5985.0,6007.0,6059.0,6104.0,6135.0,6173.0,6197.0,6305.0,6362.0,6388.0,6426.0,6491.0,6554.0,6588.0,6610.0,6679.0,6709.0,6755.0,6789.0,6833.0,6860.0,6897.0,6982.0,7039.0,7059.0,7095.0,7128.0,7175.0,7232.0,7232.0,7248.0,7298.0,7332.0,7394.0,7424.0,7424.0,7536.0,7584.0,7652.0,7711.0,7738.0,7763.0,7803.0,7831.0,7862.0,7885.0,7940.0,7971.0,8032.0,8091.0,8339.0,8379.0,8416.0,8468.0,8507.0,8507.0,8542.0,8647.0,8681.0,8741.0,8888.0,9003.0,9074.0,9169.0,9169.0,9342.0,9403.0,9489.0,9637.0,9712.0,9874.0,9874.0,10024.0,10097.0,10272.0,10452.0,10544.0,10812.0,10995.0,11100.0,11256.0,11450.0,11614.0,11836.0,12030.0,12030.0,12254.0,12486.0,12637.0,12812.0,12945.0,13128.0,13128.0,13448.0,13680.0,13780.0,13872.0,14026.0,14155.0,14155.0,14453.0,14533.0,14795.0,14914.0,15002.0,15103.0,15103.0
East Baton Rouge,18.0,43.0,58.0,75.0,105.0,124.0,153.0,164.0,188.0,228.0,244.0,325.0,389.0,621.0,656.0,816.0,892.0,935.0,1000.0,1088.0,1158.0,1223.0,1273.0,1295.0,1325.0,1389.0,1424.0,1476.0,1512.0,1534.0,1560.0,1603.0,1636.0,1697.0,1720.0,1739.0,1771.0,1787.0,1830.0,1874.0,1989.0,2054.0,2086.0,2131.0,2175.0,2224.0,2256.0,2284.0,2348.0,2374.0,2398.0,2445.0,2487.0,2898.0,2953.0,3009.0,3034.0,3056.0,3145.0,3213.0,3319.0,3370.0,3370.0,3386.0,3438.0,3462.0,3491.0,3526.0,3526.0,3591.0,3618.0,3666.0,3730.0,3773.0,3820.0,3874.0,3911.0,3949.0,3963.0,4023.0,4054.0,4088.0,4150.0,4197.0,4226.0,4284.0,4301.0,4357.0,4357.0,4218.0,4332.0,4374.0,4398.0,4514.0,4637.0,4724.0,4833.0,4833.0,4963.0,5034.0,5123.0,5350.0,5531.0,5684.0,5684.0,5874.0,5978.0,6231.0,6336.0,6468.0,6747.0,6989.0,7100.0,7300.0,7421.0,7606.0,7830.0,8044.0,8044.0,8366.0,8578.0,8700.0,8919.0,9169.0,9393.0,9393.0,9636.0,9985.0,10155.0,10345.0,10576.0,10690.0,10690.0,11169.0,11263.0,11444.0,11590.0,11736.0,11946.0,11946.0
Orleans,451.0,567.0,675.0,827.0,997.0,1170.0,1298.0,1350.0,1480.0,1834.0,2270.0,3148.0,3476.0,3966.0,4066.0,4565.0,4942.0,5070.0,5242.0,5416.0,5535.0,5600.0,5651.0,5718.0,5769.0,5847.0,5906.0,5953.0,6000.0,6148.0,6169.0,6209.0,6263.0,6286.0,6297.0,6342.0,6365.0,6380.0,6420.0,6452.0,6495.0,6524.0,6538.0,6557.0,6575.0,6608.0,6626.0,6645.0,6674.0,6682.0,6693.0,6718.0,6753.0,6768.0,6787.0,6781.0,6809.0,6822.0,6869.0,6884.0,6904.0,6944.0,6944.0,6953.0,7005.0,7021.0,7045.0,7067.0,7067.0,7108.0,7127.0,7141.0,7156.0,7174.0,7192.0,7206.0,7222.0,7230.0,7237.0,7247.0,7279.0,7294.0,7319.0,7374.0,7393.0,7411.0,7428.0,7459.0,7459.0,7448.0,7491.0,7518.0,7536.0,7571.0,7610.0,7638.0,7681.0,7681.0,7760.0,7796.0,7851.0,7919.0,7960.0,8031.0,8031.0,8107.0,8143.0,8206.0,8287.0,8344.0,8476.0,8598.0,8665.0,8745.0,8846.0,8946.0,9052.0,9160.0,9160.0,9265.0,9379.0,9451.0,9586.0,9649.0,9752.0,9752.0,9898.0,10011.0,10071.0,10120.0,10204.0,10255.0,10255.0,10384.0,10426.0,10487.0,10526.0,10573.0,10637.0,10637.0
Lafayette,6.0,9.0,12.0,20.0,30.0,44.0,48.0,50.0,82.0,118.0,159.0,247.0,276.0,229.0,247.0,260.0,272.0,285.0,303.0,330.0,337.0,354.0,360.0,363.0,375.0,387.0,396.0,414.0,419.0,423.0,429.0,435.0,439.0,440.0,442.0,443.0,443.0,446.0,451.0,455.0,463.0,464.0,466.0,468.0,473.0,477.0,479.0,481.0,498.0,501.0,508.0,512.0,537.0,541.0,543.0,578.0,590.0,598.0,605.0,607.0,631.0,637.0,637.0,659.0,674.0,678.0,689.0,695.0,695.0,763.0,768.0,793.0,803.0,821.0,834.0,854.0,866.0,880.0,897.0,908.0,931.0,957.0,988.0,1140.0,1148.0,1202.0,1243.0,1302.0,1302.0,1310.0,1364.0,1396.0,1440.0,1574.0,1654.0,1723.0,1862.0,1862.0,1972.0,2058.0,2158.0,2359.0,2472.0,2645.0,2645.0,2800.0,2917.0,3000.0,3127.0,3293.0,3493.0,3707.0,3834.0,3988.0,4216.0,4352.0,4520.0,4644.0,4644.0,4848.0,5001.0,5125.0,5339.0,5458.0,5519.0,5519.0,5769.0,5888.0,5944.0,6023.0,6096.0,6155.0,6155.0,6350.0,6423.0,7280.0,7344.0,7424.0,7468.0,7468.0
Calcasieu,4.0,4.0,5.0,11.0,15.0,22.0,28.0,35.0,42.0,65.0,90.0,108.0,119.0,135.0,139.0,159.0,186.0,191.0,209.0,228.0,248.0,259.0,268.0,273.0,282.0,300.0,309.0,309.0,323.0,324.0,334.0,341.0,352.0,356.0,360.0,363.0,369.0,377.0,386.0,389.0,437.0,449.0,455.0,464.0,470.0,475.0,478.0,481.0,490.0,493.0,496.0,496.0,505.0,507.0,513.0,514.0,517.0,520.0,521.0,521.0,548.0,567.0,567.0,568.0,572.0,578.0,581.0,588.0,588.0,596.0,599.0,608.0,611.0,613.0,621.0,625.0,632.0,637.0,642.0,661.0,673.0,684.0,701.0,741.0,755.0,772.0,789.0,824.0,824.0,831.0,876.0,888.0,921.0,971.0,1010.0,1061.0,1138.0,1138.0,1205.0,1257.0,1300.0,1729.0,1852.0,2000.0,2000.0,2153.0,2289.0,2408.0,2701.0,2797.0,2975.0,3061.0,3127.0,3236.0,3435.0,3705.0,3864.0,4028.0,4028.0,4231.0,4481.0,4578.0,4742.0,4995.0,5127.0,5127.0,5459.0,5626.0,5709.0,5810.0,5913.0,6278.0,6278.0,6440.0,6527.0,6594.0,6641.0,6695.0,6752.0,6752.0
Caddo,15.0,34.0,40.0,93.0,115.0,140.0,189.0,219.0,222.0,242.0,298.0,336.0,377.0,598.0,647.0,711.0,756.0,803.0,906.0,950.0,974.0,1018.0,1033.0,1097.0,1118.0,1154.0,1220.0,1244.0,1261.0,1276.0,1310.0,1332.0,1389.0,1407.0,1432.0,1448.0,1470.0,1497.0,1525.0,1540.0,1579.0,1601.0,1610.0,1629.0,1639.0,1667.0,1690.0,1712.0,1743.0,1751.0,1765.0,1784.0,1800.0,1818.0,1846.0,1864.0,1877.0,1898.0,1912.0,1939.0,2272.0,2293.0,2293.0,2312.0,2343.0,2347.0,2427.0,2480.0,2480.0,2525.0,2562.0,2578.0,2609.0,2633.0,2676.0,2699.0,2713.0,2731.0,2737.0,2755.0,2784.0,2794.0,2803.0,2830.0,2853.0,2869.0,2888.0,2933.0,2933.0,2831.0,2881.0,2905.0,2920.0,2953.0,2995.0,3096.0,3161.0,3161.0,3211.0,3260.0,3309.0,3418.0,3520.0,3598.0,3598.0,3706.0,3740.0,3835.0,3946.0,4055.0,4213.0,4276.0,4323.0,4413.0,4522.0,4606.0,4681.0,4798.0,4798.0,4965.0,5041.0,5093.0,5254.0,5357.0,5469.0,5469.0,5652.0,5745.0,5809.0,5933.0,6007.0,6144.0,6144.0,6261.0,6299.0,6324.0,6516.0,6566.0,6610.0,6610.0
St. Tammany,22.0,47.0,52.0,67.0,89.0,111.0,134.0,138.0,186.0,220.0,270.0,399.0,435.0,532.0,560.0,637.0,700.0,733.0,777.0,825.0,845.0,864.0,881.0,898.0,924.0,944.0,961.0,987.0,1011.0,1057.0,1067.0,1079.0,1111.0,1131.0,1138.0,1162.0,1172.0,1184.0,1205.0,1220.0,1270.0,1321.0,1325.0,1341.0,1369.0,1406.0,1415.0,1416.0,1447.0,1452.0,1463.0,1477.0,1492.0,1511.0,1520.0,1528.0,1539.0,1544.0,1559.0,1572.0,1599.0,1609.0,1609.0,1618.0,1665.0,1678.0,1687.0,1703.0,1703.0,1724.0,1749.0,1764.0,1776.0,1790.0,1799.0,1823.0,1837.0,1846.0,1849.0,1863.0,1872.0,1885.0,1906.0,1931.0,1942.0,1954.0,1962.0,1999.0,1999.0,1966.0,2003.0,2017.0,2043.0,2096.0,2131.0,2166.0,2211.0,2211.0,2288.0,2327.0,2308.0,2371.0,2440.0,2509.0,2509.0,2615.0,2657.0,2738.0,2844.0,2908.0,3004.0,3101.0,3169.0,3257.0,3342.0,3395.0,3474.0,3569.0,3569.0,3699.0,3790.0,3859.0,3954.0,4022.0,4136.0,4136.0,4285.0,4375.0,4409.0,4487.0,4568.0,4621.0,4621.0,4759.0,4808.0,4884.0,4939.0,4993.0,5086.0,5086.0
Ouachita,2.0,9.0,7.0,10.0,19.0,25.0,34.0,41.0,44.0,57.0,80.0,94.0,114.0,176.0,182.0,230.0,264.0,275.0,300.0,326.0,350.0,367.0,384.0,387.0,411.0,429.0,470.0,483.0,511.0,518.0,532.0,552.0,579.0,598.0,609.0,622.0,645.0,651.0,671.0,706.0,730.0,755.0,770.0,785.0,793.0,806.0,814.0,820.0,836.0,842.0,842.0,856.0,861.0,869.0,891.0,931.0,946.0,956.0,966.0,980.0,1032.0,1041.0,1041.0,1045.0,1102.0,1125.0,1150.0,1166.0,1166.0,1219.0,1248.0,1264.0,1289.0,1312.0,1346.0,1396.0,1432.0,1470.0,1500.0,1543.0,1592.0,1631.0,1679.0,1744.0,1782.0,1813.0,1832.0,1889.0,1889.0,1881.0,1927.0,1960.0,1980.0,2022.0,2066.0,2125.0,2199.0,2199.0,2267.0,2331.0,2392.0,2474.0,2537.0,2591.0,2591.0,2667.0,2694.0,2730.0,2794.0,2849.0,2988.0,3079.0,3120.0,3175.0,3214.0,3296.0,3388.0,3475.0,3475.0,3569.0,3643.0,3669.0,3778.0,3845.0,3916.0,3916.0,4102.0,4144.0,4169.0,4246.0,4304.0,4372.0,4372.0,4474.0,4509.0,4592.0,4644.0,4709.0,4787.0,4787.0
Tangipahoa,3.0,3.0,4.0,5.0,7.0,7.0,10.0,10.0,18.0,25.0,33.0,42.0,55.0,131.0,171.0,186.0,238.0,269.0,283.0,305.0,318.0,344.0,352.0,391.0,418.0,422.0,435.0,440.0,442.0,452.0,489.0,494.0,501.0,508.0,526.0,528.0,535.0,540.0,549.0,553.0,565.0,584.0,584.0,588.0,605.0,631.0,635.0,645.0,652.0,654.0,670.0,679.0,687.0,696.0,707.0,719.0,729.0,732.0,742.0,752.0,767.0,767.0,767.0,784.0,802.0,810.0,826.0,831.0,831.0,854.0,858.0,868.0,883.0,891.0,898.0,916.0,935.0,944.0,944.0,965.0,973.0,984.0,1001.0,1039.0,1042.0,1048.0,1062.0,1082.0,1082.0,1078.0,1112.0,1120.0,1123.0,1163.0,1184.0,1218.0,1248.0,1248.0,1273.0,1295.0,1304.0,1353.0,1394.0,1462.0,1462.0,1513.0,1541.0,1624.0,1689.0,1742.0,1802.0,1874.0,1894.0,1914.0,2020.0,2081.0,2142.0,2217.0,2217.0,2300.0,2447.0,2464.0,2536.0,2624.0,2692.0,2692.0,2777.0,2895.0,2916.0,2955.0,3001.0,3037.0,3037.0,3137.0,3159.0,3223.0,3291.0,3332.0,3397.0,3397.0
Rapides,2.0,8.0,10.0,14.0,25.0,26.0,37.0,41.0,44.0,58.0,69.0,77.0,81.0,97.0,100.0,110.0,129.0,135.0,148.0,156.0,159.0,165.0,168.0,175.0,179.0,192.0,196.0,201.0,210.0,210.0,213.0,217.0,220.0,228.0,239.0,247.0,249.0,255.0,259.0,265.0,270.0,273.0,281.0,300.0,308.0,316.0,316.0,338.0,351.0,362.0,370.0,376.0,394.0,417.0,424.0,437.0,474.0,499.0,504.0,516.0,591.0,600.0,600.0,606.0,654.0,663.0,679.0,703.0,703.0,783.0,790.0,800.0,810.0,829.0,850.0,890.0,926.0,957.0,975.0,992.0,1007.0,1074.0,1098.0,1132.0,1145.0,1193.0,1209.0,1229.0,1229.0,1290.0,1312.0,1320.0,1323.0,1358.0,1408.0,1423.0,1453.0,1453.0,1498.0,1499.0,1536.0,1578.0,1597.0,1653.0,1653.0,1678.0,1689.0,1759.0,1823.0,1870.0,1909.0,1978.0,2001.0,2019.0,2059.0,2104.0,2159.0,2201.0,2201.0,2278.0,2371.0,2429.0,2492.0,2538.0,2585.0,2585.0,2687.0,2743.0,2786.0,2817.0,2901.0,2945.0,2945.0,3037.0,3068.0,3126.0,3155.0,3194.0,3223.0,3223.0
