County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,07/08,07/09,07/10,07/11,07/12,07/13,07/14,07/15,07/16,07/17,07/18,07/19,07/20,07/21,07/22,07/23,07/24,07/25,07/26,07/27,07/28,07/29,07/30,07/31,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09
Bergen,457,609,701,819,1206,1505,1838,2169,2482,2909,3494,4099,4866,5760,6187,6862,7533,7874,8343,8928,9362,9784,10092,10426,10848,11409,11863,12163,12639,13011,13356,13686,14049,14363,14738,14965,15104,15251,15446,15610,15830,15974,16185,16282,16460,16520,16609,16709,16804,16929,17028,17091,17150,17080,17195,17246,17361,17459,17522,17518,17583,17653,17668,17804,17901,17963,18023,18158,18223,18211,18272,18302,18333,18376,18408,18463,18492,18512,18538,18573,18667,18719,18743,18805,18818,18848,18901,18928,18949,18967,18996,19010,19037,19069,19097,19167,19264,19275,19354,19375,19423,19445,19474,19532,19562,19625,19655,19676,19732,19771,19827,19847,19871,19891,19907,19927,19950,19966,19979,19980,20034,20052,20099,20133,20162,20192,20226,20280,20341,20391,20412,20472,20494,20521,20552,20609,20639,20669,20694,20751
Essex,172,273,342,381,609,826,1086,1227,1564,1900,2262,2617,3067,3584,4082,4493,5078,5598,6069,6580,7007,7410,7634,8212,8579,9084,9672,9901,10304,10729,11128,11387,11811,12110,12520,12863,13047,13190,13445,13682,13994,14248,14521,14621,14840,14951,15215,15350,15544,15646,15727,15826,15905,15905,16103,16151,16204,16712,16747,16952,16980,17014,17160,17214,17248,17279,17338,17516,17561,17594,17649,17733,17761,17813,17912,18019,18066,18077,18117,18151,18206,18234,18295,18336,18364,18375,18388,18421,18499,18533,18531,18551,18578,18592,18617,18637,18666,18696,18716,18731,18758,18771,18804,18842,18859,18887,18895,18918,18920,18928,18954,18988,19008,19039,19058,19100,19119,19111,19105,19105,19121,19153,19173,19198,19228,19263,19310,19335,19376,19428,19441,19488,19505,19526,19558,19588,19611,19644,19686,19715
Hudson,126,190,234,260,441,594,771,974,1314,1606,1910,2270,2835,3491,3924,4395,4949,5437,5879,6411,6851,7469,7879,8242,8511,9165,9636,9956,10486,11150,11221,12088,12681,13011,13367,13708,13925,14309,14596,14916,15148,15401,15769,15881,16099,16197,17142,17365,17365,17513,17801,17677,17451,17602,18048,18048,18498,18498,18679,18880,18880,18880,18959,18879,18879,18927,18606,18660,18919,18919,18767,18801,18822,18852,18875,18875,18916,18916,19000,19000,19066,19066,19149,19149,19177,19195,19238,19238,19249,19257,19280,19280,19316,19316,19333,18775,18788,18814,18834,18838,18841,18842,18874,18913,18945,18976,18990,19016,19024,19037,19056,19089,19121,19135,19193,19219,19240,19246,19261,19248,19263,19267,19281,19289,19313,19329,19363,19387,19399,19430,19434,19478,19497,19511,19528,19544,19564,19580,19607,19641
Middlesex,147,210,277,316,505,640,808,938,1123,1277,1493,1766,2125,2578,2950,3263,3717,4156,4628,5060,5406,5693,5987,6313,6576,6994,7308,7624,8017,8346,8346,9047,9530,9789,10075,10642,10767,11102,11436,11715,11947,12213,12597,12768,13142,13254,13411,13617,13759,13937,14036,14121,14241,14332,14429,14514,14668,14752,14834,14954,15057,15165,15215,15351,15437,15499,15547,15633,15734,15824,15921,15977,16021,16066,16072,16137,16203,16198,16227,16251,16288,16327,16353,16385,16430,16458,16474,16513,16547,16563,16592,16605,16618,16640,16640,16667,16685,16724,16764,16764,16816,16825,16852,16884,16901,16913,16957,16966,16956,16952,17005,17020,17035,17059,17089,17119,17142,17162,17174,17158,17168,17155,17379,17442,17476,17514,17535,17557,17580,17615,17626,17673,17700,17713,17735,17765,17798,17821,17857,17884
Passaic,95,141,216,255,399,484,608,831,1091,1294,1494,1750,2216,2856,3227,3756,4104,4372,4690,5017,5295,5590,5950,6438,6750,7317,7604,7936,8288,8479,8479,9392,9874,10291,10738,11137,11349,11755,12185,12449,12814,13082,13364,13496,13797,13971,14133,14280,14428,14543,14645,14716,14757,14887,14930,15031,15205,15278,15371,15426,15497,15604,15610,15686,15774,15826,15873,15959,16045,16099,16170,16200,16234,16277,16311,16387,16436,16449,16461,16492,16524,16555,16581,16612,16627,16649,16664,16683,16706,16725,16735,16769,16772,16794,16788,16819,16843,16868,16867,16876,16879,16894,16920,16927,16941,16954,16963,16974,16978,17000,17030,17050,17064,17080,17105,17127,17150,17154,17167,17162,17172,17181,17196,17214,17237,17274,17312,17327,17348,17370,17384,17429,17465,17493,17507,17532,17550,17585,17599,17623
Union,124,189,246,262,432,519,742,896,1213,1418,1661,2010,2487,2916,3216,3685,4368,4831,5203,5575,5865,6180,6636,7265,7438,7904,8429,8959,9609,9972,9972,10484,10935,11208,11523,11853,12011,12188,12380,12578,12779,12996,13225,13357,13503,13604,13781,13917,13984,14057,14164,14203,14306,14385,14492,14569,14702,14903,15031,15122,15176,15191,15186,15169,15218,15293,15324,15475,15610,15764,15821,15858,15868,15911,15953,16038,16116,16186,16241,16302,16317,16337,16351,16337,16322,16308,16320,16315,16304,16291,16298,16322,16340,16341,16330,16334,16356,16353,16368,16377,16386,16384,16394,16416,16441,16455,16432,16450,16443,16462,16460,16471,16501,16519,16537,16563,16567,16540,16546,16508,16517,16515,16351,16297,16321,16335,16359,16376,16410,16439,16456,16523,16545,16575,16590,16590,16605,16622,16636,16663
Ocean,102,144,180,222,389,484,624,759,874,1022,1209,1371,1685,2003,2177,2374,2641,2856,3093,3269,3403,3554,3593,3833,4016,4272,4424,4548,4648,4868,4868,5234,5444,5612,5811,5962,6024,6151,6253,6375,6505,6692,6871,6974,7060,7125,7209,7277,7366,7462,7569,7633,7688,7742,7829,7878,7913,7994,8067,8165,8214,8285,8316,8372,8430,8462,8514,8577,8627,8700,8748,8770,8817,8853,8900,8954,8979,9022,9041,9059,9100,9166,9200,9222,9244,9258,9279,9306,9351,9382,9413,9425,9440,9466,9486,9508,9535,9545,9570,9575,9614,9627,9631,9666,9682,9706,9716,9738,9753,9773,9781,9804,9820,9828,9867,9890,9902,9917,9940,9947,9956,9988,10054,10074,10116,10171,10206,10238,10293,10330,10356,10414,10439,10459,10469,10501,10520,10551,10564,10585
Monmouth,158,238,288,313,501,634,781,870,1030,1140,1301,1458,1743,2065,2354,2545,2770,3038,3248,3496,3651,3785,3875,4003,4122,4299,4414,4528,4669,4787,4787,5086,5238,5368,5521,5671,5759,5826,5907,6033,6132,6198,6290,6378,6490,6552,6649,6752,6815,6894,6988,7041,7090,7164,7224,7297,7339,7408,7470,7541,7637,7695,7720,7800,7865,7911,7961,8012,8100,8159,8219,8249,8289,8332,8379,8428,8454,8478,8498,8512,8563,8627,8660,8720,8740,8761,8786,8804,8830,8876,8925,8942,8965,8998,9008,9030,9057,9082,9108,9110,9140,9163,9211,9248,9272,9308,9320,9346,9362,9371,9404,9437,9482,9515,9542,9605,9626,9636,9649,9659,9672,9683,9720,9748,9791,9822,9857,9908,9947,9985,10004,10057,10093,10117,10137,10170,10192,10227,10267,10284
Camden,22,33,51,61,73,95,123,163,200,228,289,343,406,481,556,645,736,838,990,1072,1180,1270,1401,1477,1587,1734,1807,1918,2131,2255,2379,2528,2683,2750,2870,2983,3124,3285,3385,3519,3646,3773,3973,4073,4251,4307,4479,4619,4758,4870,4959,5043,5099,5172,5255,5381,5455,5573,5644,5738,5818,5923,5953,6024,6103,6171,6227,6292,6350,6425,6510,6543,6603,6645,6663,6732,6785,6799,6827,6849,6903,6938,6952,6986,7018,7025,7040,7047,7061,7088,7117,7135,7153,7163,7185,7212,7245,7278,7284,7297,7317,7368,7406,7419,7434,7479,7496,7536,7573,7600,7631,7670,7692,7716,7746,7775,7786,7791,7818,7829,7845,7867,7888,7910,7952,8026,8087,8130,8167,8225,8240,8301,8334,8357,8375,8400,8442,8464,8499,8525
Mercer,40,50,58,82,111,131,168,202,249,268,333,386,484,586,654,740,837,992,1161,1282,1434,1567,1646,1731,1856,2037,2123,2215,2395,2591,2591,2845,2991,3086,3245,3355,3433,3605,3725,3937,4077,4271,4504,4594,4743,4860,4986,5111,5233,5317,5393,5426,5499,5612,5673,5719,5825,5950,6018,6162,6205,6295,6351,6413,6491,6544,6592,6670,6775,6850,6933,6961,7004,7033,7072,7120,7148,7166,7184,7204,7245,7275,7295,7323,7351,7371,7381,7393,7416,7463,7489,7541,7549,7560,7572,7595,7621,7619,7626,7634,7659,7676,7693,7711,7727,7740,7745,7756,7751,7765,7773,7778,7789,7795,7807,7815,7827,7828,7844,7825,7828,7839,7858,7869,7879,7899,7917,7934,7966,7984,8000,8020,8027,8042,8051,8063,8076,8087,8104,8115
