County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19
New York City,9654.0,12305.0,14904.0,17856.0,21873.0,25573.0,29776.0,33768.0,37453.0,43119.0,47439.0,51809.0,57159.0,63306.0,67551.0,72181.0,76876.0,81803.0,87028.0,92384.0,98308.0,103208.0,106763.0,110465.0,118302.0,123146.0,127352.0,135572.0,138700.0
Nassau,1900.0,2442.0,2869.0,3285.0,3914.0,4657.0,5537.0,6445.0,7344.0,8544.0,9554.0,10587.0,12024.0,13346.0,14398.0,15616.0,16610.0,18548.0,20140.0,21512.0,22584.0,23553.0,24358.0,25250.0,26715.0,27772.0,28539.0,29180.0,30013.0
Suffolk,1034.0,1458.0,1880.0,2260.0,2735.0,3385.0,4138.0,5023.0,5791.0,6713.0,7605.0,8746.0,10154.0,11370.0,13129.0,14185.0,15561.0,17008.0,18803.0,20320.0,20321.0,20934.0,21643.0,22691.0,23523.0,24812.0,25035.0,26143.0,26888.0
Westchester,1873.0,2894.0,3891.0,4691.0,5944.0,7187.0,7875.0,8519.0,9326.0,9967.0,10683.0,11567.0,12351.0,13081.0,13723.0,14294.0,14294.0,15887.0,17004.0,18077.0,18729.0,19313.0,19786.0,20191.0,20947.0,21828.0,22476.0,23179.0,23803.0
Rockland,455.0,592.0,671.0,968.0,1197.0,1457.0,1896.0,2209.0,2511.0,2863.0,3321.0,3751.0,4289.0,4872.0,5326.0,5703.0,5990.0,6413.0,6665.0,7122.0,7477.0,7721.0,7965.0,8335.0,8474.0,8752.0,8987.0,9171.0,9364.0
Orange,247.0,389.0,498.0,638.0,751.0,910.0,1101.0,1247.0,1435.0,1556.0,1756.0,1993.0,2397.0,2741.0,3187.0,3533.0,3829.0,4075.0,4309.0,4532.0,4847.0,5027.0,5598.0,5830.0,5830.0,6266.0,6514.0,6514.0,6514.0
Dutchess,82.0,100.0,124.0,153.0,190.0,225.0,262.0,320.0,392.0,484.0,547.0,667.0,809.0,938.0,1077.0,1189.0,1249.0,1395.0,1493.0,1598.0,1744.0,1838.0,1881.0,1934.0,2048.0,2085.0,2142.0,2201.0,2240.0
Erie,56.0,87.0,114.0,122.0,206.0,245.0,318.0,414.0,443.0,499.0,582.0,617.0,734.0,808.0,1059.0,1148.0,1234.0,1335.0,1432.0,1498.0,1506.0,1571.0,1661.0,1730.0,1812.0,1951.0,2023.0,2023.0,2192.0
Monroe,68.0,81.0,106.0,118.0,148.0,166.0,202.0,219.0,246.0,257.0,349.0,420.0,464.0,512.0,548.0,574.0,596.0,651.0,698.0,742.0,767.0,798.0,823.0,850.0,884.0,932.0,975.0,1008.0,1032.0
Ulster,18.0,18.0,35.0,65.0,78.0,98.0,133.0,146.0,190.0,207.0,222.0,240.0,263.0,290.0,358.0,382.0,398.0,462.0,462.0,530.0,589.0,655.0,716.0,716.0,745.0,845.0,880.0,880.0,960.0
Putnam,31.0,31.0,82.0,84.0,94.0,111.0,131.0,144.0,167.0,167.0,207.0,216.0,252.0,283.0,314.0,345.0,402.0,427.0,456.0,487.0,494.0,507.0,507.0,634.0,634.0,634.0,732.0,732.0,778.0
Albany,123.0,127.0,146.0,152.0,171.0,187.0,195.0,205.0,217.0,226.0,240.0,253.0,267.0,293.0,305.0,319.0,333.0,342.0,379.0,426.0,446.0,478.0,499.0,535.0,548.0,581.0,619.0,648.0,682.0
Onondaga,45.0,53.0,60.0,81.0,111.0,123.0,146.0,194.0,228.0,249.0,277.0,301.0,322.0,349.0,364.0,377.0,397.0,422.0,422.0,456.0,456.0,494.0,520.0,537.0,563.0,579.0,598.0,598.0,637.0
Sullivan,12.0,12.0,23.0,39.0,53.0,64.0,72.0,88.0,101.0,106.0,121.0,143.0,168.0,193.0,193.0,253.0,270.0,296.0,296.0,318.0,340.0,358.0,380.0,415.0,424.0,437.0,505.0,524.0,537.0
Schenectady,32.0,32.0,44.0,55.0,62.0,66.0,72.0,76.0,80.0,85.0,93.0,101.0,110.0,117.0,128.0,138.0,145.0,149.0,167.0,191.0,194.0,199.0,204.0,235.0,237.0,245.0,295.0,295.0,295.0
Oneida,4.0,5.0,10.0,10.0,13.0,13.0,23.0,26.0,34.0,34.0,50.0,61.0,71.0,80.0,95.0,100.0,118.0,125.0,158.0,172.0,181.0,195.0,206.0,229.0,246.0,249.0,261.0,268.0,275.0
Saratoga,35.0,35.0,53.0,64.0,73.0,82.0,96.0,102.0,108.0,108.0,122.0,132.0,141.0,141.0,150.0,153.0,155.0,162.0,172.0,182.0,187.0,196.0,201.0,224.0,227.0,231.0,236.0,244.0,251.0
Niagara,9.0,9.0,10.0,12.0,14.0,23.0,33.0,38.0,41.0,41.0,46.0,91.0,94.0,101.0,116.0,120.0,126.0,155.0,155.0,156.0,167.0,194.0,194.0,216.0,229.0,229.0,227.0,234.0,246.0
Broome,3.0,3.0,9.0,11.0,16.0,18.0,23.0,29.0,35.0,38.0,42.0,46.0,56.0,65.0,71.0,76.0,86.0,93.0,105.0,112.0,117.0,126.0,133.0,146.0,153.0,167.0,178.0,186.0,192.0
Rensselaer,20.0,20.0,33.0,33.0,44.0,44.0,51.0,51.0,52.0,54.0,55.0,60.0,67.0,67.0,74.0,74.0,88.0,88.0,102.0,102.0,102.0,102.0,113.0,140.0,140.0,140.0,150.0,164.0,186.0
Steuben,2.0,4.0,8.0,8.0,11.0,12.0,13.0,17.0,19.0,19.0,38.0,43.0,46.0,60.0,73.0,75.0,75.0,87.0,92.0,117.0,117.0,147.0,147.0,147.0,151.0,154.0,154.0,181.0,181.0
Tompkins,15.0,15.0,16.0,18.0,23.0,32.0,48.0,56.0,70.0,73.0,76.0,80.0,87.0,93.0,95.0,102.0,103.0,105.0,107.0,107.0,108.0,113.0,113.0,113.0,118.0,118.0,119.0,119.0,119.0
Madison,0.0,1.0,4.0,7.0,9.0,17.0,28.0,29.0,42.0,49.0,62.0,68.0,77.0,78.0,89.0,92.0,92.0,92.0,102.0,102.0,102.0,105.0,110.0,110.0,110.0,110.0,117.0,117.0,117.0
