County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,07/08,07/09,07/10,07/11,07/12,07/13,07/14,07/15,07/16,07/17,07/18,07/19,07/20,07/21,07/22,07/23,07/24,07/25,07/26,07/27,07/28,07/29,07/30,07/31,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09
Cleveland,13.0,16.0,22.0,27.0,39.0,39.0,46.0,51.0,60.0,65.0,87.0,121.0,130.0,169.0,171.0,180.0,203.0,212.0,231.0,236.0,247.0,264.0,267.0,277.0,294.0,301.0,301.0,301.0,313.0,324.0,345.0,372.0,388.0,393.0,400.0,403.0,404.0,410.0,417.0,419.0,426.0,430.0,432.0,436.0,439.0,447.0,448.0,453.0,455.0,456.0,456.0,457.0,458.0,458.0,459.0,466.0,468.0,468.0,470.0,472.0,482.0,481.0,487.0,489.0,490.0,493.0,494.0,496.0,498.0,500.0,500.0,503.0,506.0,511.0,514.0,520.0,519.0,520.0,524.0,529.0,529.0,533.0,539.0,544.0,546.0,552.0,564.0,576.0,605.0,620.0,640.0,677.0,684.0,711.0,735.0,763.0,780.0,795.0,852.0,873.0,886.0,911.0,935.0,1003.0,1035.0,1052.0,1107.0,1157.0,1186.0,1208.0,1238.0,1277.0,1319.0,1348.0,1448.0,1526.0,1576.0,1630.0,1670.0,1678.0,1693.0,1760.0,1847.0,1887.0,1958.0,2048.0,2120.0,2170.0,2209.0,2382.0,2487.0,2555.0,2652.0,2703.0,2725.0,2780.0,2871.0,2909.0,2932.0,2967.0
Canadian,2.0,2.0,4.0,5.0,6.0,11.0,11.0,12.0,15.0,19.0,24.0,28.0,29.0,32.0,33.0,35.0,40.0,40.0,48.0,52.0,56.0,56.0,57.0,62.0,63.0,65.0,65.0,65.0,73.0,75.0,76.0,82.0,86.0,88.0,90.0,91.0,91.0,96.0,97.0,98.0,98.0,98.0,100.0,102.0,103.0,103.0,107.0,107.0,110.0,111.0,111.0,114.0,115.0,116.0,116.0,116.0,117.0,118.0,120.0,120.0,122.0,123.0,124.0,126.0,128.0,128.0,128.0,128.0,129.0,132.0,132.0,133.0,133.0,133.0,137.0,141.0,141.0,142.0,142.0,143.0,144.0,144.0,146.0,148.0,150.0,156.0,160.0,167.0,175.0,186.0,192.0,197.0,200.0,207.0,218.0,227.0,238.0,249.0,258.0,266.0,280.0,289.0,293.0,307.0,325.0,337.0,360.0,387.0,409.0,430.0,456.0,479.0,502.0,519.0,543.0,594.0,608.0,631.0,652.0,667.0,674.0,686.0,717.0,744.0,786.0,795.0,830.0,877.0,913.0,941.0,988.0,1009.0,1059.0,1078.0,1089.0,1106.0,1128.0,1152.0,1174.0,1194.0
Comanche,0.0,0.0,0.0,0.0,3.0,6.0,6.0,11.0,12.0,15.0,21.0,27.0,33.0,37.0,39.0,41.0,42.0,44.0,47.0,47.0,49.0,49.0,51.0,52.0,52.0,57.0,57.0,57.0,67.0,71.0,72.0,71.0,75.0,76.0,76.0,79.0,79.0,79.0,79.0,80.0,81.0,84.0,98.0,102.0,104.0,113.0,115.0,116.0,124.0,124.0,124.0,151.0,184.0,197.0,205.0,215.0,224.0,225.0,229.0,229.0,235.0,236.0,270.0,270.0,268.0,270.0,274.0,278.0,279.0,279.0,279.0,283.0,285.0,290.0,293.0,306.0,309.0,310.0,310.0,311.0,312.0,317.0,319.0,333.0,337.0,341.0,339.0,342.0,360.0,361.0,364.0,365.0,377.0,377.0,381.0,383.0,386.0,391.0,392.0,399.0,406.0,408.0,418.0,427.0,443.0,447.0,447.0,457.0,463.0,474.0,479.0,489.0,498.0,502.0,517.0,570.0,584.0,585.0,591.0,591.0,594.0,607.0,609.0,613.0,618.0,659.0,693.0,700.0,723.0,735.0,751.0,756.0,762.0,771.0,778.0,785.0,792.0,795.0,798.0,803.0
Creek,0.0,0.0,0.0,5.0,10.0,14.0,16.0,16.0,18.0,21.0,27.0,36.0,39.0,43.0,44.0,45.0,47.0,47.0,48.0,53.0,54.0,55.0,56.0,60.0,57.0,58.0,58.0,58.0,68.0,68.0,69.0,70.0,71.0,72.0,73.0,76.0,76.0,76.0,77.0,77.0,80.0,80.0,80.0,80.0,80.0,81.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,83.0,84.0,85.0,85.0,85.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,93.0,93.0,94.0,94.0,95.0,96.0,97.0,98.0,99.0,99.0,100.0,100.0,101.0,102.0,101.0,102.0,105.0,106.0,106.0,108.0,108.0,118.0,121.0,122.0,123.0,124.0,127.0,128.0,129.0,134.0,139.0,140.0,140.0,144.0,147.0,151.0,158.0,169.0,174.0,175.0,185.0,194.0,201.0,204.0,210.0,212.0,217.0,223.0,231.0,233.0,247.0,267.0,269.0,272.0,287.0,299.0,308.0,321.0,341.0,388.0,410.0,429.0,441.0,468.0,473.0,495.0,493.0,500.0,510.0,536.0,552.0,580.0,588.0
Jackson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,24.0,24.0,24.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,29.0,30.0,30.0,32.0,30.0,30.0,30.0,32.0,32.0,32.0,32.0,32.0,32.0,34.0,34.0,33.0,34.0,35.0,35.0,35.0,35.0,38.0,38.0,38.0,43.0,47.0,48.0,48.0,53.0,54.0,54.0,55.0,57.0,57.0,57.0,72.0,128.0,166.0,169.0,211.0,211.0,215.0,219.0,228.0,252.0,302.0,346.0,370.0,383.0,395.0,424.0,442.0,468.0,478.0,486.0,486.0,489.0,497.0,504.0,514.0,518.0
Muskogee,1.0,1.0,1.0,1.0,4.0,5.0,7.0,7.0,7.0,8.0,13.0,15.0,16.0,17.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,21.0,22.0,25.0,26.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,29.0,29.0,29.0,29.0,29.0,30.0,29.0,29.0,30.0,30.0,30.0,30.0,32.0,34.0,35.0,35.0,35.0,36.0,39.0,43.0,46.0,48.0,48.0,48.0,49.0,60.0,60.0,61.0,61.0,62.0,64.0,67.0,67.0,69.0,70.0,74.0,77.0,79.0,77.0,77.0,80.0,88.0,92.0,94.0,97.0,100.0,102.0,102.0,103.0,105.0,106.0,106.0,118.0,123.0,127.0,133.0,137.0,138.0,143.0,153.0,159.0,174.0,182.0,193.0,196.0,200.0,216.0,228.0,230.0,239.0,246.0,246.0,247.0,276.0,288.0,294.0,304.0,316.0,333.0,359.0,387.0,396.0,411.0,416.0,433.0,438.0,448.0,463.0,480.0,486.0,490.0,503.0
Bryan,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,17.0,19.0,19.0,19.0,19.0,21.0,22.0,22.0,22.0,23.0,23.0,24.0,26.0,26.0,29.0,31.0,32.0,33.0,35.0,35.0,36.0,36.0,40.0,46.0,47.0,49.0,48.0,48.0,48.0,51.0,57.0,64.0,68.0,69.0,71.0,72.0,72.0,75.0,78.0,83.0,85.0,85.0,86.0,94.0,100.0,108.0,113.0,123.0,124.0,134.0,136.0,146.0,154.0,173.0,180.0,183.0,184.0,190.0,199.0,205.0,219.0,226.0,239.0,240.0,252.0,259.0,268.0,284.0,303.0,316.0,323.0,356.0,359.0,368.0,374.0,381.0,386.0,385.0,398.0,402.0,410.0,431.0,453.0
Garfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,17.0,17.0,18.0,19.0,19.0,21.0,21.0,21.0,22.0,22.0,22.0,22.0,21.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,27.0,28.0,27.0,27.0,28.0,29.0,29.0,30.0,30.0,31.0,31.0,31.0,45.0,46.0,47.0,47.0,51.0,51.0,53.0,54.0,55.0,55.0,55.0,60.0,62.0,64.0,64.0,64.0,65.0,66.0,67.0,68.0,75.0,75.0,78.0,79.0,82.0,84.0,86.0,93.0,102.0,104.0,104.0,108.0,132.0,138.0,140.0,144.0,160.0,173.0,176.0,183.0,186.0,201.0,220.0,227.0,280.0,291.0,306.0,322.0,324.0,330.0,363.0,365.0,372.0,382.0,389.0,396.0,420.0,447.0
Grady,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,6.0,7.0,8.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0,12.0,14.0,16.0,16.0,16.0,20.0,23.0,23.0,25.0,31.0,31.0,34.0,34.0,34.0,35.0,35.0,36.0,36.0,38.0,39.0,40.0,40.0,41.0,41.0,42.0,45.0,45.0,46.0,52.0,54.0,58.0,60.0,64.0,64.0,64.0,65.0,68.0,71.0,72.0,73.0,76.0,79.0,80.0,83.0,83.0,85.0,92.0,92.0,97.0,99.0,100.0,104.0,107.0,107.0,115.0,115.0,115.0,115.0,115.0,116.0,116.0,117.0,118.0,118.0,120.0,122.0,123.0,123.0,125.0,125.0,125.0,124.0,126.0,128.0,130.0,135.0,138.0,137.0,139.0,144.0,153.0,169.0,173.0,198.0,206.0,212.0,224.0,228.0,236.0,241.0,241.0,254.0,264.0,285.0,290.0,302.0,304.0,304.0,309.0,325.0,328.0,347.0,352.0,366.0,376.0,380.0,387.0,391.0,397.0,406.0,409.0,412.0,417.0,421.0,428.0,430.0,437.0
Delaware,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,7.0,7.0,8.0,10.0,11.0,11.0,12.0,13.0,13.0,13.0,14.0,23.0,24.0,50.0,63.0,71.0,72.0,74.0,74.0,74.0,83.0,86.0,87.0,88.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,93.0,94.0,94.0,93.0,93.0,95.0,95.0,95.0,96.0,96.0,97.0,97.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,102.0,102.0,103.0,104.0,104.0,107.0,107.0,108.0,109.0,111.0,112.0,112.0,114.0,115.0,117.0,117.0,118.0,119.0,121.0,124.0,127.0,132.0,136.0,152.0,153.0,162.0,165.0,172.0,175.0,181.0,199.0,200.0,218.0,229.0,239.0,242.0,244.0,261.0,270.0,272.0,279.0,288.0,290.0,293.0,300.0,316.0,323.0,341.0,351.0,363.0,370.0,379.0,381.0,385.0,390.0,399.0,401.0,403.0,404.0,405.0,412.0,419.0,424.0
