County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,07/08,07/09,07/10,07/11,07/12,07/13,07/14,07/15,07/16,07/17,07/18,07/19,07/20,07/21,07/22,07/23,07/24,07/25,07/26,07/27,07/28,07/29,07/30,07/31,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09
Multnomah,19.0,21.0,25.0,33.0,45.0,67.0,81.0,91.0,100.0,116.0,134.0,160.0,175.0,175.0,233.0,233.0,243.0,258.0,302.0,302.0,317.0,374.0,398.0,420.0,430.0,448.0,467.0,493.0,514.0,520.0,542.0,566.0,582.0,596.0,623.0,652.0,664.0,677.0,696.0,707.0,720.0,734.0,739.0,754.0,769.0,793.0,809.0,839.0,863.0,885.0,899.0,908.0,921.0,940.0,957.0,979.0,984.0,996.0,1005.0,1018.0,1026.0,1037.0,1037.0,1040.0,1045.0,1052.0,1093.0,1103.0,1121.0,1142.0,1165.0,1171.0,1181.0,1194.0,1224.0,1236.0,1236.0,1264.0,1302.0,1329.0,1361.0,1404.0,1440.0,1440.0,1440.0,1556.0,1598.0,1632.0,1665.0,1714.0,1714.0,1714.0,1849.0,1893.0,1938.0,1967.0,2028.0,2087.0,2139.0,2167.0,2202.0,2239.0,2301.0,2361.0,2417.0,2488.0,2529.0,2580.0,2608.0,2694.0,2730.0,2824.0,2888.0,2966.0,3038.0,3095.0,3199.0,3285.0,3369.0,3486.0,3566.0,3631.0,3678.0,3743.0,3813.0,3813.0,3921.0,4039.0,4115.0,4201.0,4260.0,4335.0,4403.0,4450.0,4497.0,4553.0,4608.0,4653.0,4762.0,4849.0
Washington,55.0,69.0,76.0,96.0,104.0,122.0,140.0,154.0,168.0,186.0,189.0,211.0,228.0,228.0,259.0,259.0,271.0,282.0,311.0,311.0,320.0,348.0,360.0,365.0,364.0,376.0,383.0,387.0,399.0,408.0,415.0,425.0,443.0,451.0,459.0,466.0,475.0,474.0,481.0,491.0,500.0,509.0,516.0,526.0,531.0,537.0,548.0,556.0,562.0,573.0,587.0,601.0,614.0,616.0,620.0,628.0,628.0,638.0,644.0,658.0,659.0,669.0,673.0,690.0,695.0,698.0,703.0,715.0,722.0,734.0,739.0,743.0,747.0,752.0,755.0,775.0,775.0,790.0,800.0,807.0,813.0,828.0,849.0,849.0,849.0,891.0,928.0,950.0,975.0,992.0,992.0,992.0,1078.0,1120.0,1151.0,1175.0,1214.0,1258.0,1287.0,1315.0,1331.0,1379.0,1446.0,1491.0,1534.0,1586.0,1620.0,1645.0,1676.0,1720.0,1764.0,1815.0,1847.0,1892.0,1945.0,1994.0,2070.0,2105.0,2151.0,2208.0,2246.0,2276.0,2319.0,2352.0,2406.0,2406.0,2495.0,2553.0,2583.0,2638.0,2700.0,2740.0,2783.0,2830.0,2849.0,2877.0,2921.0,2943.0,2991.0,3047.0
Marion,22.0,30.0,32.0,43.0,57.0,83.0,94.0,109.0,123.0,141.0,151.0,164.0,178.0,178.0,198.0,198.0,209.0,215.0,235.0,235.0,246.0,276.0,280.0,289.0,294.0,309.0,317.0,335.0,358.0,371.0,381.0,388.0,397.0,417.0,432.0,436.0,447.0,456.0,474.0,491.0,508.0,523.0,544.0,561.0,574.0,592.0,613.0,626.0,663.0,677.0,694.0,723.0,746.0,779.0,797.0,824.0,827.0,843.0,855.0,879.0,882.0,890.0,898.0,905.0,909.0,914.0,920.0,931.0,942.0,949.0,960.0,973.0,981.0,999.0,1011.0,1028.0,1028.0,1039.0,1058.0,1066.0,1071.0,1105.0,1134.0,1134.0,1134.0,1179.0,1201.0,1218.0,1244.0,1264.0,1264.0,1264.0,1348.0,1365.0,1378.0,1382.0,1400.0,1432.0,1475.0,1489.0,1514.0,1539.0,1564.0,1595.0,1610.0,1648.0,1661.0,1683.0,1697.0,1743.0,1770.0,1831.0,1859.0,1893.0,1939.0,1975.0,2028.0,2063.0,2093.0,2140.0,2170.0,2210.0,2238.0,2277.0,2333.0,2333.0,2413.0,2437.0,2474.0,2495.0,2533.0,2575.0,2614.0,2667.0,2692.0,2713.0,2755.0,2789.0,2837.0,2883.0
Umatilla,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,8.0,11.0,11.0,11.0,16.0,16.0,16.0,17.0,22.0,23.0,25.0,26.0,27.0,29.0,29.0,30.0,32.0,35.0,36.0,36.0,37.0,45.0,50.0,57.0,61.0,64.0,70.0,73.0,77.0,77.0,80.0,84.0,85.0,85.0,85.0,86.0,88.0,91.0,93.0,93.0,98.0,101.0,105.0,107.0,108.0,110.0,111.0,112.0,112.0,112.0,114.0,114.0,116.0,116.0,120.0,121.0,123.0,124.0,125.0,125.0,131.0,144.0,144.0,148.0,152.0,157.0,157.0,157.0,180.0,181.0,193.0,206.0,230.0,230.0,230.0,279.0,298.0,333.0,341.0,363.0,419.0,467.0,482.0,492.0,533.0,620.0,667.0,716.0,757.0,772.0,792.0,834.0,886.0,937.0,987.0,1013.0,1041.0,1115.0,1141.0,1189.0,1227.0,1262.0,1340.0,1381.0,1438.0,1462.0,1503.0,1563.0,1563.0,1678.0,1723.0,1796.0,1802.0,1902.0,1943.0,1977.0,1996.0,2060.0,2122.0,2141.0,2167.0,2221.0,2251.0
Clackamas,12.0,14.0,17.0,21.0,21.0,31.0,36.0,39.0,40.0,50.0,56.0,61.0,66.0,66.0,84.0,84.0,90.0,97.0,109.0,109.0,116.0,125.0,132.0,135.0,142.0,150.0,153.0,154.0,161.0,171.0,173.0,183.0,191.0,196.0,201.0,204.0,204.0,205.0,206.0,214.0,222.0,224.0,225.0,226.0,231.0,235.0,241.0,250.0,256.0,266.0,268.0,274.0,274.0,271.0,277.0,281.0,281.0,286.0,284.0,284.0,284.0,289.0,290.0,290.0,294.0,296.0,300.0,304.0,305.0,306.0,312.0,317.0,317.0,324.0,333.0,339.0,339.0,346.0,377.0,393.0,399.0,446.0,455.0,455.0,455.0,488.0,509.0,526.0,538.0,561.0,561.0,561.0,607.0,632.0,640.0,648.0,665.0,681.0,699.0,716.0,733.0,751.0,773.0,795.0,821.0,845.0,861.0,877.0,894.0,914.0,925.0,955.0,987.0,1006.0,1027.0,1051.0,1079.0,1097.0,1111.0,1130.0,1141.0,1156.0,1181.0,1201.0,1227.0,1227.0,1276.0,1283.0,1296.0,1319.0,1339.0,1361.0,1377.0,1401.0,1421.0,1443.0,1464.0,1484.0,1500.0,1523.0
Malheur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,10.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,15.0,16.0,17.0,19.0,19.0,21.0,21.0,21.0,24.0,28.0,28.0,28.0,28.0,28.0,28.0,33.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,34.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,38.0,38.0,38.0,42.0,43.0,43.0,43.0,51.0,53.0,58.0,60.0,73.0,85.0,96.0,101.0,108.0,124.0,140.0,160.0,191.0,206.0,216.0,223.0,235.0,266.0,286.0,302.0,373.0,400.0,434.0,449.0,465.0,473.0,478.0,489.0,499.0,517.0,530.0,539.0,557.0,557.0,576.0,584.0,599.0,616.0,634.0,646.0,663.0,673.0,676.0,708.0,715.0,734.0,755.0,768.0
Deschutes,10.0,10.0,10.0,10.0,15.0,18.0,20.0,23.0,25.0,24.0,27.0,32.0,36.0,36.0,39.0,39.0,40.0,44.0,50.0,50.0,51.0,54.0,54.0,55.0,55.0,59.0,61.0,63.0,64.0,64.0,64.0,66.0,70.0,70.0,71.0,73.0,75.0,75.0,75.0,76.0,76.0,78.0,78.0,79.0,80.0,81.0,83.0,84.0,85.0,86.0,86.0,90.0,89.0,91.0,94.0,95.0,96.0,101.0,107.0,116.0,117.0,116.0,117.0,119.0,120.0,120.0,120.0,121.0,121.0,124.0,125.0,127.0,127.0,128.0,133.0,134.0,134.0,133.0,135.0,134.0,134.0,135.0,137.0,137.0,137.0,137.0,137.0,139.0,139.0,142.0,142.0,142.0,147.0,149.0,153.0,155.0,159.0,162.0,170.0,172.0,181.0,183.0,192.0,201.0,211.0,219.0,221.0,221.0,224.0,229.0,237.0,252.0,268.0,268.0,276.0,288.0,316.0,328.0,339.0,352.0,371.0,378.0,387.0,405.0,419.0,419.0,460.0,471.0,478.0,494.0,509.0,517.0,530.0,537.0,540.0,548.0,555.0,567.0,582.0,596.0
Lane,4.0,4.0,4.0,5.0,7.0,10.0,9.0,10.0,12.0,16.0,18.0,21.0,21.0,21.0,27.0,27.0,29.0,30.0,33.0,33.0,34.0,37.0,41.0,42.0,44.0,45.0,46.0,46.0,48.0,48.0,48.0,48.0,48.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0,54.0,55.0,55.0,57.0,57.0,59.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,64.0,64.0,65.0,65.0,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,68.0,69.0,73.0,77.0,77.0,77.0,80.0,80.0,80.0,80.0,81.0,81.0,82.0,85.0,85.0,85.0,85.0,89.0,90.0,90.0,90.0,93.0,93.0,93.0,106.0,107.0,107.0,112.0,122.0,136.0,139.0,145.0,151.0,165.0,180.0,196.0,208.0,218.0,228.0,243.0,253.0,271.0,281.0,294.0,305.0,309.0,317.0,324.0,336.0,346.0,384.0,394.0,398.0,401.0,407.0,419.0,435.0,435.0,448.0,455.0,461.0,474.0,484.0,501.0,511.0,518.0,523.0,535.0,540.0,552.0,565.0,579.0
Jackson,2.0,2.0,3.0,4.0,4.0,6.0,8.0,19.0,20.0,21.0,22.0,27.0,27.0,27.0,33.0,33.0,39.0,39.0,44.0,44.0,44.0,46.0,47.0,47.0,47.0,47.0,48.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,52.0,52.0,52.0,55.0,56.0,57.0,60.0,60.0,65.0,65.0,65.0,65.0,66.0,67.0,67.0,68.0,69.0,69.0,69.0,71.0,71.0,71.0,77.0,76.0,78.0,78.0,78.0,82.0,83.0,85.0,85.0,85.0,85.0,85.0,91.0,92.0,94.0,93.0,98.0,97.0,106.0,109.0,114.0,117.0,131.0,140.0,147.0,149.0,152.0,152.0,157.0,164.0,173.0,178.0,179.0,181.0,187.0,196.0,203.0,215.0,222.0,238.0,242.0,247.0,257.0,265.0,269.0,269.0,291.0,302.0,312.0,325.0,335.0,352.0,370.0,385.0,394.0,411.0,421.0,437.0,447.0,461.0
Yamhill,6.0,6.0,6.0,7.0,7.0,11.0,13.0,13.0,14.0,16.0,17.0,18.0,23.0,23.0,26.0,26.0,25.0,25.0,29.0,29.0,28.0,30.0,30.0,32.0,32.0,33.0,35.0,34.0,34.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,37.0,38.0,39.0,39.0,39.0,39.0,39.0,40.0,41.0,42.0,45.0,45.0,47.0,49.0,49.0,50.0,50.0,55.0,55.0,57.0,57.0,59.0,62.0,63.0,63.0,63.0,64.0,65.0,65.0,66.0,67.0,69.0,69.0,69.0,70.0,70.0,70.0,74.0,75.0,79.0,79.0,81.0,85.0,85.0,85.0,91.0,91.0,91.0,91.0,92.0,94.0,94.0,97.0,97.0,97.0,97.0,101.0,101.0,102.0,103.0,109.0,113.0,114.0,115.0,119.0,126.0,131.0,132.0,132.0,139.0,139.0,155.0,164.0,171.0,179.0,194.0,198.0,205.0,211.0,217.0,220.0,222.0,229.0,235.0,241.0,248.0,252.0,256.0,264.0,264.0,277.0,286.0,295.0,307.0,318.0,336.0,350.0,359.0,386.0,399.0,404.0,413.0,429.0,450.0
