County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18
Harris,74.0,78.0,134.0,185.0,203.0,229.0,445.0,526.0,563.0,680.0,847.0,955.0,1106.0,1284.0,1395.0,1809.0,2146.0,2341.0,3047.0,3261.0,3561.0,3629.0,3744.0,3907.0,4097.0,4306.0,4460.0,4653.0
Dallas,131.0,155.0,169.0,247.0,303.0,367.0,439.0,488.0,549.0,631.0,731.0,831.0,921.0,1105.0,1112.0,1155.0,1261.0,1324.0,1432.0,1537.0,1644.0,1723.0,1788.0,1877.0,1986.0,2066.0,2190.0,2324.0
Tarrant,47.0,57.0,71.0,90.0,100.0,114.0,128.0,139.0,238.0,273.0,288.0,325.0,383.0,404.0,418.0,452.0,517.0,588.0,637.0,705.0,705.0,787.0,876.0,929.0,990.0,1093.0,1175.0,1229.0
Travis,62.0,79.0,86.0,98.0,119.0,160.0,179.0,200.0,206.0,244.0,244.0,351.0,351.0,430.0,484.0,502.0,502.0,554.0,597.0,642.0,690.0,744.0,774.0,856.0,900.0,977.0,1074.0,1074.0
Bexar,46.0,57.0,69.0,69.0,84.0,113.0,125.0,140.0,157.0,168.0,207.0,229.0,254.0,342.0,384.0,410.0,456.0,503.0,554.0,615.0,665.0,723.0,772.0,794.0,815.0,890.0,918.0,959.0
Fort Bend,29.0,29.0,46.0,46.0,86.0,101.0,101.0,119.0,119.0,163.0,163.0,194.0,221.0,255.0,268.0,318.0,318.0,417.0,437.0,485.0,518.0,536.0,543.0,543.0,627.0,627.0,656.0,755.0
Denton,30.0,30.0,38.0,51.0,83.0,137.0,148.0,165.0,165.0,206.0,206.0,254.0,273.0,273.0,304.0,337.0,366.0,366.0,426.0,426.0,454.0,474.0,507.0,507.0,521.0,547.0,564.0,585.0
Collin,38.0,38.0,45.0,53.0,66.0,87.0,118.0,134.0,134.0,160.0,184.0,207.0,227.0,256.0,287.0,306.0,306.0,343.0,378.0,406.0,425.0,453.0,472.0,472.0,477.0,505.0,505.0,522.0
El Paso,7.0,9.0,10.0,16.0,28.0,28.0,38.0,42.0,40.0,53.0,57.0,75.0,85.0,103.0,113.0,132.0,132.0,153.0,192.0,225.0,252.0,269.0,292.0,300.0,346.0,393.0,451.0,482.0
Galveston,11.0,18.0,18.0,22.0,40.0,40.0,49.0,70.0,70.0,92.0,106.0,118.0,130.0,136.0,240.0,256.0,256.0,272.0,287.0,308.0,341.0,355.0,355.0,377.0,392.0,401.0,421.0,438.0
