FIPS,County,State,Country,Date,lat,lon,Confirmed,Deaths,Recovered,Active,Combined_Key
51001,Accomack,Virginia,US,2020-03-27 22:14:55,37.76707161,-75.63234615,2,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-08 22:51:58,37.76707161,-75.63234615,11,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,3/22/20 23:45,37.76707161,-75.63234615,1,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,3/29/20 23:08,37.76707161,-75.63234615,3,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-03-26 23:48:35,37.76707161,-75.63234615,2,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-14 23:33:31,37.76707161,-75.63234615,15,0,0,15,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,4/2/20 23:25,37.76707161,-75.63234615,10,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-07 23:04:49,37.76707161,-75.63234615,11,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,4/6/20 23:22,37.76707161,-75.63234615,11,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-10 22:54:07,37.76707161,-75.63234615,12,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-05 23:06:45,37.76707161,-75.63234615,11,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,3/30/20 22:52,37.76707161,-75.63234615,6,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-03-23 23:19:34,37.76707161,-75.63234615,1,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-11 22:45:33,37.76707161,-75.63234615,15,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-03 22:46:37,37.76707161,-75.63234615,8,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,4/4/20 23:34,37.76707161,-75.63234615,8,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,3/28/20 23:05,37.76707161,-75.63234615,2,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-09 23:02:37,37.76707161,-75.63234615,11,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-03-25 23:33:19,37.76707161,-75.63234615,2,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-12 23:18:00,37.76707161,-75.63234615,15,0,0,15,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-01 21:58:49,37.76707161,-75.63234615,7,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-03-31 23:43:56,37.76707161,-75.63234615,7,0,0,0,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-04-13 23:07:54,37.76707161,-75.63234615,15,0,0,15,"Accomack, Virginia, US"
51001,Accomack,Virginia,US,2020-03-24 23:37:31,37.76707161,-75.63234615,1,0,0,0,"Accomack, Virginia, US"
51003,Albemarle,Virginia,US,2020-03-25 23:33:19,38.02080697,-78.55481085,4,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-03-23 23:19:34,38.02080697,-78.55481085,2,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-12 23:18:00,38.02080697,-78.55481085,46,0,0,46,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-03-27 22:14:55,38.02080697,-78.55481085,8,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-09 23:02:37,38.02080697,-78.55481085,43,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,3/28/20 23:05,38.02080697,-78.55481085,16,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-14 23:33:31,38.02080697,-78.55481085,50,0,0,50,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-07 23:04:49,38.02080697,-78.55481085,38,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-03-31 23:43:56,38.02080697,-78.55481085,21,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,3/29/20 23:08,38.02080697,-78.55481085,17,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-11 22:45:33,38.02080697,-78.55481085,46,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,4/6/20 23:22,38.02080697,-78.55481085,34,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-13 23:07:54,38.02080697,-78.55481085,49,0,0,49,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-03-24 23:37:31,38.02080697,-78.55481085,2,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-01 21:58:49,38.02080697,-78.55481085,21,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,4/4/20 23:34,38.02080697,-78.55481085,27,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-03 22:46:37,38.02080697,-78.55481085,26,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,3/22/20 23:45,38.02080697,-78.55481085,2,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-03-26 23:48:35,38.02080697,-78.55481085,6,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-10 22:54:07,38.02080697,-78.55481085,43,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,3/30/20 22:52,38.02080697,-78.55481085,19,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,4/2/20 23:25,38.02080697,-78.55481085,23,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-08 22:51:58,38.02080697,-78.55481085,41,0,0,0,"Albemarle, Virginia, US"
51003,Albemarle,Virginia,US,2020-04-05 23:06:45,38.02080697,-78.55481085,32,0,0,0,"Albemarle, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-11 22:45:33,38.814003,-77.08183073,188,1,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-01 21:58:49,38.814003,-77.08183073,32,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,4/4/20 23:34,38.814003,-77.08183073,68,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,3/30/20 22:52,38.814003,-77.08183073,26,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-14 23:33:31,38.814003,-77.08183073,247,1,0,246,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-03-23 23:19:34,38.814003,-77.08183073,6,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,4/6/20 23:22,38.814003,-77.08183073,93,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-03-31 23:43:56,38.814003,-77.08183073,30,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,3/28/20 23:05,38.814003,-77.08183073,20,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-03 22:46:37,38.814003,-77.08183073,56,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-03-25 23:33:19,38.814003,-77.08183073,9,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-09 23:02:37,38.814003,-77.08183073,149,1,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-12 23:18:00,38.814003,-77.08183073,198,1,0,197,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-03-27 22:14:55,38.814003,-77.08183073,18,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-07 23:04:49,38.814003,-77.08183073,126,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,3/29/20 23:08,38.814003,-77.08183073,25,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-03-24 23:37:31,38.814003,-77.08183073,8,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-13 23:07:54,38.814003,-77.08183073,235,1,0,234,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,3/22/20 23:45,38.814003,-77.08183073,5,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-08 22:51:58,38.814003,-77.08183073,143,1,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,4/2/20 23:25,38.814003,-77.08183073,33,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-10 22:54:07,38.814003,-77.08183073,174,1,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-04-05 23:06:45,38.814003,-77.08183073,74,0,0,0,"Alexandria, Virginia, US"
51510,Alexandria,Virginia,US,2020-03-26 23:48:35,38.814003,-77.08183073,14,0,0,0,"Alexandria, Virginia, US"
51005,Alleghany,Virginia,US,4/4/20 23:34,37.78636074,-80.00222498,2,0,0,0,"Alleghany, Virginia, US"
51005,Alleghany,Virginia,US,4/6/20 23:22,37.78636074,-80.00222498,2,0,0,0,"Alleghany, Virginia, US"
51005,Alleghany,Virginia,US,2020-04-13 23:07:54,37.78636074,-80.00222498,4,0,0,4,"Alleghany, Virginia, US"
51005,Alleghany,Virginia,US,2020-03-24 23:37:31,37.78636074,-80.00222498,0,0,0,0,"Alleghany, Virginia, US"
51005,Alleghany,Virginia,US,2020-03-23 23:19:34,37.78636074,-80.00222498,0,0,0,0,"Alleghany, Virginia, US"
51005,Alleghany,Virginia,US,2020-04-01 21:58:49,37.78636074,-80.00222498,1,0,0,0,"Alleghany, Virginia, US"
51005,Alleghany,Virginia,US,2020-04-03 22:46:37,37.78636074,-80.00222498,2,0,0,0,"Alleghany, Virginia, US"
