County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,07/08,07/09,07/10,07/11,07/12,07/13,07/14,07/15,07/16,07/17,07/18,07/19,07/20,07/21,07/22,07/23,07/24,07/25,07/26,07/27,07/28,07/29,07/30,07/31,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09
Denver,125.0,148.0,148.0,214.0,262.0,262.0,312.0,408.0,408.0,539.0,539.0,586.0,643.0,716.0,825.0,847.0,884.0,927.0,927.0,1031.0,1113.0,1247.0,1346.0,1402.0,1402.0,1468.0,1549.0,1636.0,1784.0,1784.0,2004.0,2071.0,2172.0,2385.0,2487.0,2583.0,2682.0,2791.0,2890.0,3001.0,3092.0,3222.0,3345.0,3428.0,3546.0,3674.0,3799.0,3892.0,4001.0,4070.0,4118.0,4187.0,4254.0,4359.0,4452.0,4548.0,4656.0,4720.0,4790.0,4858.0,4948.0,5056.0,5151.0,5173.0,5216.0,5269.0,5316.0,5434.0,5569.0,5690.0,5775.0,5802.0,5854.0,5917.0,5977.0,6041.0,6079.0,6106.0,6138.0,6176.0,6204.0,6232.0,6257.0,6301.0,6330.0,6376.0,6401.0,6445.0,6493.0,6565.0,6603.0,6630.0,6663.0,6700.0,6775.0,6835.0,6901.0,6947.0,7007.0,7065.0,7091.0,7149.0,7228.0,7279.0,7319.0,7344.0,7392.0,7477.0,7563.0,7651.0,7759.0,7832.0,7902.0,7952.0,8011.0,8098.0,8164.0,8254.0,8320.0,8371.0,8429.0,8532.0,8650.0,8809.0,8939.0,9101.0,9205.0,9256.0,9387.0,9482.0,9529.0,9623.0,9693.0,9777.0,9813.0,9876.0,9968.0,10052.0,10122.0,10173.0
Arapahoe,45.0,58.0,58.0,69.0,119.0,119.0,155.0,241.0,241.0,333.0,333.0,381.0,441.0,500.0,608.0,652.0,718.0,764.0,764.0,877.0,931.0,1083.0,1142.0,1183.0,1183.0,1243.0,1342.0,1419.0,1536.0,1536.0,1649.0,1717.0,1824.0,2030.0,2083.0,2160.0,2252.0,2312.0,2389.0,2472.0,2557.0,2625.0,2706.0,2758.0,2883.0,2977.0,3089.0,3148.0,3228.0,3272.0,3313.0,3370.0,3464.0,3526.0,3583.0,3652.0,3703.0,3767.0,3827.0,3889.0,3943.0,3974.0,4027.0,4039.0,4075.0,4121.0,4166.0,4201.0,4254.0,4353.0,4394.0,4416.0,4453.0,4496.0,4553.0,4591.0,4626.0,4637.0,4663.0,4687.0,4709.0,4723.0,4754.0,4788.0,4803.0,4818.0,4826.0,4861.0,4885.0,4905.0,4921.0,4941.0,4975.0,4993.0,5022.0,5066.0,5100.0,5127.0,5157.0,5172.0,5202.0,5234.0,5267.0,5300.0,5329.0,5354.0,5369.0,5421.0,5459.0,5510.0,5583.0,5627.0,5647.0,5682.0,5734.0,5789.0,5854.0,5934.0,5990.0,6032.0,6075.0,6140.0,6197.0,6276.0,6373.0,6470.0,6541.0,6570.0,6691.0,6749.0,6798.0,6877.0,6932.0,7006.0,7023.0,7093.0,7156.0,7194.0,7234.0,7286.0
Adams,18.0,18.0,25.0,27.0,50.0,50.0,71.0,110.0,110.0,181.0,181.0,212.0,260.0,294.0,354.0,367.0,388.0,417.0,417.0,475.0,543.0,647.0,693.0,726.0,726.0,758.0,805.0,860.0,915.0,915.0,996.0,1033.0,1082.0,1252.0,1302.0,1348.0,1391.0,1430.0,1490.0,1585.0,1665.0,1730.0,1780.0,1815.0,1883.0,1952.0,2046.0,2117.0,2205.0,2242.0,2278.0,2322.0,2374.0,2448.0,2520.0,2575.0,2613.0,2640.0,2675.0,2737.0,2759.0,2802.0,2856.0,2869.0,2908.0,2964.0,3006.0,3070.0,3142.0,3224.0,3258.0,3291.0,3338.0,3379.0,3458.0,3515.0,3552.0,3575.0,3605.0,3627.0,3643.0,3663.0,3698.0,3729.0,3743.0,3759.0,3771.0,3791.0,3819.0,3852.0,3872.0,3909.0,3932.0,3941.0,3971.0,4013.0,4058.0,4093.0,4148.0,4170.0,4185.0,4226.0,4267.0,4287.0,4322.0,4362.0,4400.0,4478.0,4546.0,4588.0,4669.0,4719.0,4757.0,4788.0,4847.0,4916.0,4972.0,5024.0,5058.0,5094.0,5133.0,5184.0,5248.0,5312.0,5433.0,5535.0,5587.0,5626.0,5713.0,5794.0,5868.0,5957.0,6018.0,6090.0,6115.0,6181.0,6248.0,6307.0,6375.0,6438.0
El Paso,51.0,69.0,69.0,122.0,137.0,137.0,160.0,214.0,214.0,286.0,286.0,314.0,340.0,374.0,435.0,441.0,457.0,472.0,472.0,534.0,550.0,613.0,641.0,652.0,652.0,668.0,689.0,708.0,731.0,731.0,744.0,774.0,798.0,853.0,862.0,867.0,879.0,884.0,907.0,932.0,964.0,988.0,994.0,1005.0,1028.0,1055.0,1079.0,1097.0,1109.0,1124.0,1137.0,1157.0,1175.0,1204.0,1251.0,1291.0,1314.0,1348.0,1357.0,1386.0,1428.0,1460.0,1493.0,1505.0,1535.0,1581.0,1600.0,1636.0,1674.0,1717.0,1732.0,1748.0,1761.0,1778.0,1788.0,1802.0,1817.0,1834.0,1862.0,1880.0,1888.0,1907.0,1920.0,1925.0,1932.0,1941.0,1960.0,2001.0,2024.0,2063.0,2079.0,2101.0,2113.0,2139.0,2173.0,2220.0,2266.0,2296.0,2327.0,2360.0,2374.0,2431.0,2474.0,2525.0,2574.0,2608.0,2645.0,2685.0,2751.0,2804.0,2935.0,3000.0,3059.0,3102.0,3168.0,3216.0,3306.0,3407.0,3477.0,3517.0,3604.0,3686.0,3786.0,3864.0,3928.0,4033.0,4128.0,4150.0,4265.0,4327.0,4381.0,4473.0,4541.0,4584.0,4625.0,4663.0,4754.0,4832.0,4911.0,4958.0
Jefferson,51.0,55.0,55.0,93.0,131.0,131.0,158.0,213.0,213.0,304.0,304.0,356.0,385.0,440.0,519.0,540.0,579.0,610.0,610.0,660.0,683.0,763.0,787.0,809.0,809.0,837.0,860.0,888.0,957.0,957.0,1011.0,1064.0,1075.0,1157.0,1236.0,1265.0,1276.0,1298.0,1314.0,1338.0,1373.0,1384.0,1405.0,1431.0,1466.0,1507.0,1542.0,1574.0,1627.0,1649.0,1658.0,1678.0,1716.0,1748.0,1775.0,1800.0,1831.0,1849.0,1882.0,1932.0,1974.0,1999.0,2030.0,2040.0,2061.0,2090.0,2098.0,2123.0,2171.0,2196.0,2221.0,2244.0,2266.0,2294.0,2310.0,2343.0,2370.0,2373.0,2384.0,2398.0,2424.0,2436.0,2445.0,2458.0,2458.0,2466.0,2477.0,2488.0,2508.0,2522.0,2526.0,2532.0,2543.0,2555.0,2569.0,2594.0,2616.0,2633.0,2656.0,2671.0,2682.0,2711.0,2746.0,2763.0,2776.0,2788.0,2801.0,2842.0,2887.0,2922.0,2970.0,3007.0,3026.0,3055.0,3089.0,3118.0,3174.0,3221.0,3252.0,3282.0,3306.0,3348.0,3395.0,3462.0,3527.0,3622.0,3654.0,3676.0,3739.0,3782.0,3821.0,3874.0,3915.0,3949.0,3971.0,3994.0,4051.0,4086.0,4124.0,4160.0
Weld,37.0,50.0,50.0,87.0,107.0,107.0,129.0,180.0,180.0,255.0,255.0,293.0,329.0,379.0,470.0,504.0,537.0,573.0,573.0,614.0,649.0,738.0,808.0,858.0,858.0,928.0,960.0,986.0,1063.0,1063.0,1180.0,1237.0,1263.0,1353.0,1430.0,1469.0,1544.0,1618.0,1704.0,1776.0,1802.0,1836.0,1872.0,1897.0,1955.0,1988.0,2042.0,2087.0,2120.0,2139.0,2159.0,2190.0,2211.0,2232.0,2260.0,2281.0,2295.0,2305.0,2326.0,2338.0,2358.0,2367.0,2391.0,2406.0,2412.0,2423.0,2430.0,2444.0,2472.0,2480.0,2488.0,2501.0,2505.0,2521.0,2534.0,2540.0,2566.0,2583.0,2598.0,2604.0,2616.0,2629.0,2646.0,2652.0,2656.0,2666.0,2671.0,2693.0,2698.0,2705.0,2714.0,2721.0,2724.0,2730.0,2746.0,2757.0,2773.0,2783.0,2788.0,2798.0,2802.0,2823.0,2839.0,2853.0,2862.0,2871.0,2878.0,2890.0,2912.0,2937.0,2973.0,2988.0,2999.0,3025.0,3047.0,3090.0,3127.0,3176.0,3189.0,3210.0,3244.0,3258.0,3293.0,3319.0,3353.0,3386.0,3408.0,3422.0,3452.0,3462.0,3477.0,3503.0,3525.0,3546.0,3552.0,3580.0,3617.0,3635.0,3662.0,3696.0
Boulder,37.0,39.0,39.0,49.0,66.0,66.0,76.0,90.0,90.0,107.0,107.0,114.0,132.0,143.0,177.0,189.0,206.0,207.0,207.0,217.0,234.0,264.0,284.0,293.0,299.0,300.0,312.0,327.0,352.0,352.0,390.0,417.0,426.0,470.0,497.0,500.0,515.0,543.0,565.0,580.0,618.0,646.0,661.0,679.0,685.0,700.0,720.0,743.0,757.0,767.0,777.0,788.0,797.0,805.0,825.0,835.0,844.0,857.0,871.0,878.0,890.0,898.0,923.0,928.0,932.0,941.0,947.0,956.0,964.0,974.0,980.0,984.0,986.0,995.0,1004.0,1008.0,1011.0,1016.0,1022.0,1027.0,1031.0,1040.0,1049.0,1065.0,1070.0,1088.0,1100.0,1137.0,1173.0,1211.0,1228.0,1243.0,1259.0,1282.0,1305.0,1321.0,1336.0,1347.0,1360.0,1367.0,1384.0,1401.0,1414.0,1424.0,1428.0,1435.0,1443.0,1454.0,1466.0,1486.0,1498.0,1513.0,1517.0,1532.0,1558.0,1578.0,1601.0,1619.0,1628.0,1642.0,1650.0,1662.0,1683.0,1704.0,1721.0,1751.0,1772.0,1782.0,1813.0,1825.0,1840.0,1872.0,1890.0,1912.0,1927.0,1946.0,1982.0,1997.0,2019.0,2026.0
Douglas,33.0,48.0,48.0,53.0,67.0,67.0,79.0,102.0,102.0,141.0,141.0,158.0,171.0,194.0,223.0,227.0,232.0,244.0,244.0,270.0,282.0,298.0,304.0,311.0,311.0,312.0,329.0,353.0,368.0,368.0,384.0,392.0,399.0,414.0,425.0,439.0,449.0,453.0,468.0,478.0,502.0,518.0,526.0,531.0,543.0,556.0,573.0,584.0,591.0,601.0,604.0,607.0,612.0,621.0,632.0,637.0,640.0,649.0,654.0,659.0,663.0,669.0,675.0,675.0,678.0,683.0,695.0,699.0,705.0,715.0,720.0,724.0,726.0,733.0,746.0,751.0,753.0,756.0,757.0,764.0,771.0,779.0,790.0,794.0,801.0,807.0,815.0,820.0,825.0,831.0,839.0,852.0,864.0,869.0,873.0,895.0,911.0,922.0,939.0,946.0,951.0,964.0,984.0,993.0,1006.0,1013.0,1019.0,1042.0,1056.0,1078.0,1120.0,1134.0,1161.0,1178.0,1201.0,1224.0,1263.0,1293.0,1310.0,1331.0,1357.0,1377.0,1410.0,1433.0,1462.0,1494.0,1519.0,1529.0,1558.0,1577.0,1594.0,1616.0,1624.0,1647.0,1653.0,1670.0,1689.0,1702.0,1718.0,1726.0
Larimer,32.0,34.0,34.0,43.0,61.0,61.0,67.0,84.0,84.0,99.0,99.0,107.0,124.0,134.0,153.0,158.0,161.0,167.0,167.0,174.0,177.0,187.0,193.0,198.0,198.0,202.0,217.0,224.0,239.0,239.0,250.0,266.0,274.0,291.0,303.0,312.0,321.0,334.0,348.0,363.0,377.0,384.0,395.0,395.0,409.0,415.0,423.0,437.0,444.0,448.0,452.0,455.0,456.0,463.0,472.0,485.0,489.0,495.0,508.0,512.0,517.0,520.0,530.0,537.0,540.0,544.0,552.0,567.0,570.0,576.0,583.0,589.0,589.0,606.0,610.0,613.0,616.0,619.0,628.0,632.0,636.0,635.0,637.0,641.0,647.0,652.0,659.0,658.0,661.0,668.0,673.0,680.0,680.0,683.0,686.0,692.0,701.0,713.0,718.0,723.0,736.0,747.0,757.0,776.0,791.0,803.0,808.0,818.0,843.0,869.0,884.0,899.0,917.0,946.0,959.0,982.0,1009.0,1041.0,1055.0,1079.0,1112.0,1131.0,1158.0,1183.0,1207.0,1238.0,1255.0,1261.0,1299.0,1314.0,1335.0,1359.0,1376.0,1401.0,1417.0,1420.0,1456.0,1475.0,1493.0,1531.0
Eagle,80.0,92.0,92.0,120.0,147.0,147.0,170.0,187.0,187.0,227.0,227.0,295.0,314.0,333.0,339.0,355.0,372.0,374.0,374.0,394.0,426.0,452.0,457.0,468.0,468.0,480.0,479.0,482.0,485.0,485.0,487.0,488.0,489.0,506.0,512.0,533.0,535.0,540.0,546.0,550.0,550.0,546.0,551.0,552.0,547.0,552.0,554.0,555.0,558.0,558.0,559.0,561.0,562.0,564.0,566.0,570.0,570.0,570.0,571.0,572.0,577.0,577.0,580.0,581.0,577.0,580.0,580.0,584.0,586.0,587.0,587.0,587.0,590.0,599.0,599.0,603.0,607.0,608.0,610.0,612.0,615.0,617.0,621.0,623.0,625.0,626.0,628.0,632.0,633.0,639.0,641.0,649.0,656.0,660.0,665.0,670.0,680.0,685.0,686.0,688.0,692.0,693.0,697.0,700.0,701.0,705.0,709.0,715.0,732.0,738.0,758.0,761.0,763.0,766.0,783.0,795.0,812.0,824.0,831.0,847.0,850.0,855.0,884.0,903.0,926.0,944.0,964.0,972.0,983.0,1002.0,1006.0,1026.0,1041.0,1050.0,1069.0,1092.0,1096.0,1106.0,1116.0,1120.0
